"County","Week Ending","Claim Type","Claims","Previous Week","+/- Change from Previous Week","% Change from Previous Week","4 Week Average"
"Esmeralda","2015-04-04","initial","1","0","1","Inf","0"
"Eureka","2015-04-04","initial","1","0","1","Inf","2"
"Humboldt","2015-04-04","initial","9","6","3","50.00%","9"
"Lander","2015-04-04","initial","4","5","-1","-20.00%","6"
"Lincoln","2015-04-04","initial","4","2","2","100.00%","3"
"Lyon","2015-04-04","initial","70","69","1","1.45%","62"
"Mineral","2015-04-04","initial","3","7","-4","-57.14%","4"
"Nye","2015-04-04","initial","28","32","-4","-12.50%","30"
"Pershing","2015-04-04","initial","2","1","1","100.00%","1"
"Storey","2015-04-04","initial","3","0","3","Inf","2"
"Washoe","2015-04-04","initial","403","362","41","11.33%","387"
"White Pine","2015-04-04","initial","5","6","-1","-16.67%","5"
"Unknown","2015-04-04","initial","120","123","-3","-2.44%","121"
"Carson City","2015-04-04","continued","512","540","-28","-5.19%","543"
"Churchill","2015-04-04","continued","236","236","0","0.00%","238"
"Clark","2015-04-04","continued","19,040","19,378","-338","-1.74%","19,429"
"Douglas","2015-04-04","continued","375","390","-15","-3.85%","391"
"Elko","2015-04-04","continued","342","356","-14","-3.93%","366"
"Esmeralda","2015-04-04","continued","6","5","1","20.00%","6"
"Eureka","2015-04-04","continued","13","18","-5","-27.78%","15"
"Humboldt","2015-04-04","continued","135","149","-14","-9.40%","144"
"Lander","2015-04-04","continued","77","90","-13","-14.44%","90"
"Lincoln","2015-04-04","continued","18","21","-3","-14.29%","20"
"Lyon","2015-04-04","continued","687","677","10","1.48%","699"
"Mineral","2015-04-04","continued","52","58","-6","-10.34%","55"
"Nye","2015-04-04","continued","316","306","10","3.27%","312"
"Pershing","2015-04-04","continued","33","35","-2","-5.71%","34"
"Storey","2015-04-04","continued","12","13","-1","-7.69%","13"
"Washoe","2015-04-04","continued","3,766","3,984","-218","-5.47%","3,993"
"White Pine","2015-04-04","continued","79","79","0","0.00%","79"
"Unknown","2015-04-04","continued","743","781","-38","-4.87%","798"
"Carson City","2015-03-28","initial","47","60","-13","-21.67%","50"
"Churchill","2015-03-28","initial","19","14","5","35.71%","22"
"Clark","2015-03-28","initial","2,082","2,222","-140","-6.30%","2,218"
"Douglas","2015-03-28","initial","27","36","-9","-25.00%","32"
"Elko","2015-03-28","initial","40","40","0","0.00%","31"
"Esmeralda","2015-03-28","initial","0","1","-1","-100.00%","0"
"Eureka","2015-03-28","initial","0","3","-3","-100.00%","2"
"Humboldt","2015-03-28","initial","6","7","-1","-14.29%","8"
"Lander","2015-03-28","initial","5","6","-1","-16.67%","6"
