"County","Week Ending","Claim Type","Claims","Previous Week","+/- Change from Previous Week","% Change from Previous Week","4 Week Average"
"Elko","2019-07-13","initial","23","19","4","21.05%","21"
"Esmeralda","2019-07-13","initial","0","1","-1","-100.00%","0"
"Eureka","2019-07-13","initial","0","0","0","","0"
"Humboldt","2019-07-13","initial","11","9","2","22.22%","10"
"Lander","2019-07-13","initial","0","1","-1","-100.00%","2"
"Lincoln","2019-07-13","initial","1","0","1","Inf","1"
"Lyon","2019-07-13","initial","32","32","0","0.00%","35"
"Mineral","2019-07-13","initial","5","0","5","Inf","3"
"Nye","2019-07-13","initial","31","22","9","40.91%","28"
"Pershing","2019-07-13","initial","2","3","-1","-33.33%","2"
"Storey","2019-07-13","initial","1","2","-1","-50.00%","2"
"Washoe","2019-07-13","initial","292","240","52","21.67%","249"
"White Pine","2019-07-13","initial","2","1","1","100.00%","2"
"Unknown","2019-07-13","initial","100","53","47","88.68%","78"
"Carson City","2019-07-13","continued","243","240","3","1.25%","238"
"Churchill","2019-07-13","continued","70","79","-9","-11.39%","74"
"Clark","2019-07-13","continued","14,910","14,287","623","4.36%","14,332"
"Douglas","2019-07-13","continued","132","133","-1","-0.75%","141"
"Elko","2019-07-13","continued","154","149","5","3.36%","154"
"Esmeralda","2019-07-13","continued","5","2","3","150.00%","4"
"Eureka","2019-07-13","continued","2","2","0","0.00%","2"
"Humboldt","2019-07-13","continued","69","65","4","6.15%","62"
"Lander","2019-07-13","continued","19","19","0","0.00%","20"
"Lincoln","2019-07-13","continued","16","15","1","6.67%","16"
"Lyon","2019-07-13","continued","252","228","24","10.53%","234"
"Mineral","2019-07-13","continued","21","20","1","5.00%","20"
"Nye","2019-07-13","continued","205","194","11","5.67%","194"
"Pershing","2019-07-13","continued","15","13","2","15.38%","15"
"Storey","2019-07-13","continued","10","7","3","42.86%","8"
"Washoe","2019-07-13","continued","1,716","1,645","71","4.32%","1,712"
"White Pine","2019-07-13","continued","33","29","4","13.79%","33"
"Unknown","2019-07-13","continued","286","266","20","7.52%","281"
"Carson City","2019-07-06","initial","31","33","-2","-6.06%","32"
"Churchill","2019-07-06","initial","15","7","8","114.29%","8"
"Clark","2019-07-06","initial","2,314","1,960","354","18.06%","2,202"
"Douglas","2019-07-06","initial","15","10","5","50.00%","12"
"Elko","2019-07-06","initial","19","27","-8","-29.63%","22"
"Esmeralda","2019-07-06","initial","1","0","1","Inf","1"
"Eureka","2019-07-06","initial","0","0","0","","0"
"Humboldt","2019-07-06","initial","9","9","0","0.00%","11"
"Lander","2019-07-06","initial","1","2","-1","-50.00%","3"
"Lincoln","2019-07-06","initial","0","0","0","","2"
"Lyon","2019-07-06","initial","32","37","-5","-13.51%","35"
"Mineral","2019-07-06","initial","0","5","-5","-100.00%","3"
"Nye","2019-07-06","initial","22","29","-7","-24.14%","30"
"Pershing","2019-07-06","initial","3","0","3","Inf","2"
"Storey","2019-07-06","initial","2","3","-1","-33.33%","2"
"Washoe","2019-07-06","initial","240","200","40","20.00%","235"
"White Pine","2019-07-06","initial","1","4","-3","-75.00%","2"
"Unknown","2019-07-06","initial","53","79","-26","-32.91%","74"
"Carson City","2019-07-06","continued","240","233","7","3.00%","238"
"Churchill","2019-07-06","continued","79","71","8","11.27%","76"
"Clark","2019-07-06","continued","14,287","14,164","123","0.87%","13,958"
"Douglas","2019-07-06","continued","133","151","-18","-11.92%","148"
"Elko","2019-07-06","continued","149","153","-4","-2.61%","156"
"Esmeralda","2019-07-06","continued","2","4","-2","-50.00%","3"
"Eureka","2019-07-06","continued","2","2","0","0.00%","2"
"Humboldt","2019-07-06","continued","65","59","6","10.17%","56"
"Lander","2019-07-06","continued","19","23","-4","-17.39%","20"
"Lincoln","2019-07-06","continued","15","15","0","0.00%","16"
"Lyon","2019-07-06","continued","228","225","3","1.33%","235"
"Mineral","2019-07-06","continued","20","21","-1","-4.76%","20"
"Nye","2019-07-06","continued","194","184","10","5.43%","192"
"Pershing","2019-07-06","continued","13","15","-2","-13.33%","15"
"Storey","2019-07-06","continued","7","8","-1","-12.50%","8"
"Washoe","2019-07-06","continued","1,645","1,708","-63","-3.69%","1,734"
"White Pine","2019-07-06","continued","29","36","-7","-19.44%","32"
"Unknown","2019-07-06","continued","266","282","-16","-5.67%","280"
"Carson City","2019-06-29","initial","33","25","8","32.00%","32"
"Churchill","2019-06-29","initial","7","6","1","16.67%","8"
"Clark","2019-06-29","initial","1,960","2,217","-257","-11.59%","2,078"
"Douglas","2019-06-29","initial","10","14","-4","-28.57%","14"
"Elko","2019-06-29","initial","27","15","12","80.00%","23"
"Esmeralda","2019-06-29","initial","0","0","0","","0"
"Eureka","2019-06-29","initial","0","0","0","","0"
"Humboldt","2019-06-29","initial","9","11","-2","-18.18%","12"
"Lander","2019-06-29","initial","2","7","-5","-71.43%","4"
"Lincoln","2019-06-29","initial","0","3","-3","-100.00%","2"
"Lyon","2019-06-29","initial","37","38","-1","-2.63%","34"
"Mineral","2019-06-29","initial","5","2","3","150.00%","3"
"Nye","2019-06-29","initial","29","30","-1","-3.33%","31"
"Pershing","2019-06-29","initial","0","1","-1","-100.00%","2"
"Storey","2019-06-29","initial","3","0","3","Inf","2"
"Washoe","2019-06-29","initial","200","265","-65","-24.53%","227"
"White Pine","2019-06-29","initial","4","2","2","100.00%","4"
"Unknown","2019-06-29","initial","79","81","-2","-2.47%","77"
"Carson City","2019-06-29","continued","233","236","-3","-1.27%","242"
"Churchill","2019-06-29","continued","71","77","-6","-7.79%","75"
"Clark","2019-06-29","continued","14,164","13,968","196","1.40%","13,738"
"Douglas","2019-06-29","continued","151","148","3","2.03%","154"
"Elko","2019-06-29","continued","153","158","-5","-3.16%","161"
"Esmeralda","2019-06-29","continued","4","5","-1","-20.00%","4"
"Eureka","2019-06-29","continued","2","3","-1","-33.33%","2"
"Humboldt","2019-06-29","continued","59","54","5","9.26%","50"
"Lander","2019-06-29","continued","23","21","2","9.52%","20"
"Lincoln","2019-06-29","continued","15","16","-1","-6.25%","16"
"Lyon","2019-06-29","continued","225","233","-8","-3.43%","244"
"Mineral","2019-06-29","continued","21","20","1","5.00%","20"
"Nye","2019-06-29","continued","184","193","-9","-4.66%","188"
"Pershing","2019-06-29","continued","15","16","-1","-6.25%","15"
"Storey","2019-06-29","continued","8","9","-1","-11.11%","8"
"Washoe","2019-06-29","continued","1,708","1,779","-71","-3.99%","1,798"
"White Pine","2019-06-29","continued","36","33","3","9.09%","33"
"Unknown","2019-06-29","continued","282","289","-7","-2.42%","286"
"Carson City","2019-06-22","initial","25","37","-12","-32.43%","32"
"Churchill","2019-06-22","initial","6","5","1","20.00%","8"
"Clark","2019-06-22","initial","2,217","2,319","-102","-4.40%","2,120"
"Douglas","2019-06-22","initial","14","11","3","27.27%","16"
"Elko","2019-06-22","initial","15","27","-12","-44.44%","23"
"Esmeralda","2019-06-22","initial","0","2","-2","-100.00%","0"
"Eureka","2019-06-22","initial","0","0","0","","1"
"Humboldt","2019-06-22","initial","11","16","-5","-31.25%","11"
"Lander","2019-06-22","initial","7","3","4","133.33%","4"
"Lincoln","2019-06-22","initial","3","3","0","0.00%","3"
"Lyon","2019-06-22","initial","38","32","6","18.75%","36"
"Mineral","2019-06-22","initial","2","5","-3","-60.00%","3"
"Nye","2019-06-22","initial","30","38","-8","-21.05%","30"
"Pershing","2019-06-22","initial","1","2","-1","-50.00%","3"
"Storey","2019-06-22","initial","0","3","-3","-100.00%","1"
"Washoe","2019-06-22","initial","265","234","31","13.25%","236"
"White Pine","2019-06-22","initial","2","2","0","0.00%","4"
"Unknown","2019-06-22","initial","81","84","-3","-3.57%","75"
"Carson City","2019-06-22","continued","236","242","-6","-2.48%","245"
"Churchill","2019-06-22","continued","77","78","-1","-1.28%","78"
"Clark","2019-06-22","continued","13,968","13,411","557","4.15%","13,473"
"Douglas","2019-06-22","continued","148","161","-13","-8.07%","154"
"Elko","2019-06-22","continued","158","166","-8","-4.82%","162"
"Esmeralda","2019-06-22","continued","5","2","3","150.00%","4"
"Eureka","2019-06-22","continued","3","3","0","0.00%","2"
"Humboldt","2019-06-22","continued","54","44","10","22.73%","47"
"Lander","2019-06-22","continued","21","15","6","40.00%","19"
"Lincoln","2019-06-22","continued","16","17","-1","-5.88%","18"
"Lyon","2019-06-22","continued","233","254","-21","-8.27%","248"
"Mineral","2019-06-22","continued","20","18","2","11.11%","18"
"Nye","2019-06-22","continued","193","197","-4","-2.03%","191"
"Pershing","2019-06-22","continued","16","16","0","0.00%","15"
"Storey","2019-06-22","continued","9","6","3","50.00%","8"
"Washoe","2019-06-22","continued","1,779","1,806","-27","-1.50%","1,849"
"White Pine","2019-06-22","continued","33","32","1","3.12%","31"
"Unknown","2019-06-22","continued","289","285","4","1.40%","295"
"Carson City","2019-06-15","initial","37","31","6","19.35%","36"
"Churchill","2019-06-15","initial","5","14","-9","-64.29%","9"
"Clark","2019-06-15","initial","2,319","1,816","503","27.70%","2,017"
"Douglas","2019-06-15","initial","11","23","-12","-52.17%","18"
"Elko","2019-06-15","initial","27","24","3","12.50%","27"
"Esmeralda","2019-06-15","initial","2","0","2","Inf","1"
"Eureka","2019-06-15","initial","0","1","-1","-100.00%","1"
"Humboldt","2019-06-15","initial","16","11","5","45.45%","10"
"Lander","2019-06-15","initial","3","2","1","50.00%","3"
"Lincoln","2019-06-15","initial","3","0","3","Inf","2"
"Lyon","2019-06-15","initial","32","28","4","14.29%","38"
"Mineral","2019-06-15","initial","5","1","4","400.00%","4"
"Nye","2019-06-15","initial","38","28","10","35.71%","28"
"Pershing","2019-06-15","initial","2","7","-5","-71.43%","3"
"Storey","2019-06-15","initial","3","0","3","Inf","1"
"Washoe","2019-06-15","initial","234","210","24","11.43%","250"
"White Pine","2019-06-15","initial","2","8","-6","-75.00%","6"
"Unknown","2019-06-15","initial","84","63","21","33.33%","76"
"Carson City","2019-06-15","continued","242","257","-15","-5.84%","248"
"Churchill","2019-06-15","continued","78","73","5","6.85%","78"
"Clark","2019-06-15","continued","13,411","13,410","1","0.01%","13,260"
"Douglas","2019-06-15","continued","161","156","5","3.21%","158"
"Elko","2019-06-15","continued","166","166","0","0.00%","165"
"Esmeralda","2019-06-15","continued","2","3","-1","-33.33%","2"
"Eureka","2019-06-15","continued","3","2","1","50.00%","2"
"Humboldt","2019-06-15","continued","44","43","1","2.33%","42"
"Lander","2019-06-15","continued","15","19","-4","-21.05%","18"
"Lincoln","2019-06-15","continued","17","18","-1","-5.56%","17"
"Lyon","2019-06-15","continued","254","262","-8","-3.05%","252"
"Mineral","2019-06-15","continued","18","19","-1","-5.26%","17"
"Nye","2019-06-15","continued","197","180","17","9.44%","192"
"Pershing","2019-06-15","continued","16","13","3","23.08%","15"
"Storey","2019-06-15","continued","6","10","-4","-40.00%","8"
"Washoe","2019-06-15","continued","1,806","1,900","-94","-4.95%","1,886"
"White Pine","2019-06-15","continued","32","31","1","3.23%","29"
"Unknown","2019-06-15","continued","285","290","-5","-1.72%","306"
"Carson City","2019-06-08","initial","31","34","-3","-8.82%","35"
"Churchill","2019-06-08","initial","14","8","6","75.00%","10"
"Clark","2019-06-08","initial","1,816","2,126","-310","-14.58%","1,871"
"Douglas","2019-06-08","initial","23","16","7","43.75%","20"
"Elko","2019-06-08","initial","24","26","-2","-7.69%","24"
"Esmeralda","2019-06-08","initial","0","0","0","","1"
"Eureka","2019-06-08","initial","1","3","-2","-66.67%","1"
"Humboldt","2019-06-08","initial","11","6","5","83.33%","8"
"Lander","2019-06-08","initial","2","4","-2","-50.00%","3"
"Lincoln","2019-06-08","initial","0","5","-5","-100.00%","2"
"Lyon","2019-06-08","initial","28","45","-17","-37.78%","41"
"Mineral","2019-06-08","initial","1","4","-3","-75.00%","2"
"Nye","2019-06-08","initial","28","25","3","12.00%","21"
"Pershing","2019-06-08","initial","7","2","5","250.00%","3"
"Storey","2019-06-08","initial","0","1","-1","-100.00%","1"
"Washoe","2019-06-08","initial","210","235","-25","-10.64%","263"
"White Pine","2019-06-08","initial","8","5","3","60.00%","6"
"Unknown","2019-06-08","initial","63","73","-10","-13.70%","76"
"Carson City","2019-06-08","continued","257","245","12","4.90%","254"
"Churchill","2019-06-08","continued","73","83","-10","-12.05%","81"
"Clark","2019-06-08","continued","13,410","13,104","306","2.34%","13,254"
"Douglas","2019-06-08","continued","156","151","5","3.31%","162"
"Elko","2019-06-08","continued","166","157","9","5.73%","164"
"Esmeralda","2019-06-08","continued","3","4","-1","-25.00%","2"
"Eureka","2019-06-08","continued","2","0","2","Inf","1"
"Humboldt","2019-06-08","continued","43","48","-5","-10.42%","42"
"Lander","2019-06-08","continued","19","20","-1","-5.00%","20"
"Lincoln","2019-06-08","continued","18","19","-1","-5.26%","18"
"Lyon","2019-06-08","continued","262","243","19","7.82%","253"
"Mineral","2019-06-08","continued","19","16","3","18.75%","17"
"Nye","2019-06-08","continued","180","195","-15","-7.69%","194"
"Pershing","2019-06-08","continued","13","14","-1","-7.14%","15"
"Storey","2019-06-08","continued","10","8","2","25.00%","8"
"Washoe","2019-06-08","continued","1,900","1,912","-12","-0.63%","1,910"
"White Pine","2019-06-08","continued","31","29","2","6.90%","26"
"Unknown","2019-06-08","continued","290","315","-25","-7.94%","319"
"Carson City","2019-06-01","initial","34","44","-10","-22.73%","40"
"Churchill","2019-06-01","initial","8","9","-1","-11.11%","10"
"Clark","2019-06-01","initial","2,126","1,807","319","17.65%","1,880"
"Douglas","2019-06-01","initial","16","20","-4","-20.00%","22"
"Elko","2019-06-01","initial","26","31","-5","-16.13%","23"
"Esmeralda","2019-06-01","initial","0","3","-3","-100.00%","1"
"Eureka","2019-06-01","initial","3","0","3","Inf","1"
"Humboldt","2019-06-01","initial","6","9","-3","-33.33%","7"
"Lander","2019-06-01","initial","4","3","1","33.33%","3"
"Lincoln","2019-06-01","initial","5","2","3","150.00%","2"
"Lyon","2019-06-01","initial","45","47","-2","-4.26%","42"
"Mineral","2019-06-01","initial","4","4","0","0.00%","3"
"Nye","2019-06-01","initial","25","20","5","25.00%","19"
"Pershing","2019-06-01","initial","2","1","1","100.00%","1"
"Storey","2019-06-01","initial","1","1","0","0.00%","2"
"Washoe","2019-06-01","initial","235","320","-85","-26.56%","274"
"White Pine","2019-06-01","initial","5","7","-2","-28.57%","5"
"Unknown","2019-06-01","initial","73","86","-13","-15.12%","82"
"Carson City","2019-06-01","continued","245","249","-4","-1.61%","254"
"Churchill","2019-06-01","continued","83","80","3","3.75%","82"
"Clark","2019-06-01","continued","13,104","13,116","-12","-0.09%","13,251"
"Douglas","2019-06-01","continued","151","166","-15","-9.04%","164"
"Elko","2019-06-01","continued","157","171","-14","-8.19%","165"
"Esmeralda","2019-06-01","continued","4","1","3","300.00%","1"
"Eureka","2019-06-01","continued","0","1","-1","-100.00%","1"
"Humboldt","2019-06-01","continued","48","32","16","50.00%","39"
"Lander","2019-06-01","continued","20","18","2","11.11%","20"
"Lincoln","2019-06-01","continued","19","14","5","35.71%","18"
"Lyon","2019-06-01","continued","243","247","-4","-1.62%","257"
"Mineral","2019-06-01","continued","16","16","0","0.00%","15"
"Nye","2019-06-01","continued","195","198","-3","-1.52%","202"
"Pershing","2019-06-01","continued","14","17","-3","-17.65%","17"
"Storey","2019-06-01","continued","8","8","0","0.00%","9"
"Washoe","2019-06-01","continued","1,912","1,924","-12","-0.62%","1,921"
"White Pine","2019-06-01","continued","29","23","6","26.09%","24"
"Unknown","2019-06-01","continued","315","334","-19","-5.69%","332"
"Carson City","2019-05-25","initial","44","31","13","41.94%","38"
"Churchill","2019-05-25","initial","9","9","0","0.00%","10"
"Clark","2019-05-25","initial","1,807","1,735","72","4.15%","1,826"
"Douglas","2019-05-25","initial","20","20","0","0.00%","22"
"Elko","2019-05-25","initial","31","13","18","138.46%","22"
"Esmeralda","2019-05-25","initial","3","1","2","200.00%","1"
"Eureka","2019-05-25","initial","0","0","0","","0"
"Humboldt","2019-05-25","initial","9","5","4","80.00%","7"
"Lander","2019-05-25","initial","3","2","1","50.00%","2"
"Lincoln","2019-05-25","initial","2","0","2","Inf","1"
"Lyon","2019-05-25","initial","47","45","2","4.44%","39"
"Mineral","2019-05-25","initial","4","0","4","Inf","3"
"Nye","2019-05-25","initial","20","10","10","100.00%","18"
"Pershing","2019-05-25","initial","1","1","0","0.00%","1"
"Storey","2019-05-25","initial","1","2","-1","-50.00%","2"
"Washoe","2019-05-25","initial","320","286","34","11.89%","278"
"White Pine","2019-05-25","initial","7","4","3","75.00%","4"
"Unknown","2019-05-25","initial","86","84","2","2.38%","86"
"Carson City","2019-05-25","continued","249","264","-15","-5.68%","257"
"Churchill","2019-05-25","continued","80","89","-9","-10.11%","85"
"Clark","2019-05-25","continued","13,116","13,388","-272","-2.03%","13,376"
"Douglas","2019-05-25","continued","166","175","-9","-5.14%","170"
"Elko","2019-05-25","continued","171","164","7","4.27%","173"
"Esmeralda","2019-05-25","continued","1","0","1","Inf","0"
"Eureka","2019-05-25","continued","1","2","-1","-50.00%","2"
"Humboldt","2019-05-25","continued","32","44","-12","-27.27%","37"
"Lander","2019-05-25","continued","18","21","-3","-14.29%","19"
"Lincoln","2019-05-25","continued","14","20","-6","-30.00%","19"
"Lyon","2019-05-25","continued","247","259","-12","-4.63%","269"
"Mineral","2019-05-25","continued","16","18","-2","-11.11%","15"
"Nye","2019-05-25","continued","198","204","-6","-2.94%","210"
"Pershing","2019-05-25","continued","17","15","2","13.33%","20"
"Storey","2019-05-25","continued","8","8","0","0.00%","10"
"Washoe","2019-05-25","continued","1,924","1,903","21","1.10%","1,937"
"White Pine","2019-05-25","continued","23","23","0","0.00%","23"
"Unknown","2019-05-25","continued","334","336","-2","-0.60%","345"
"Carson City","2019-05-18","initial","31","50","-19","-38.00%","35"
"Churchill","2019-05-18","initial","9","14","-5","-35.71%","10"
"Clark","2019-05-18","initial","1,735","1,851","-116","-6.27%","1,863"
"Douglas","2019-05-18","initial","20","31","-11","-35.48%","23"
"Elko","2019-05-18","initial","13","23","-10","-43.48%","18"
"Esmeralda","2019-05-18","initial","1","1","0","0.00%","0"
"Eureka","2019-05-18","initial","0","0","0","","0"
"Humboldt","2019-05-18","initial","5","9","-4","-44.44%","6"
"Lander","2019-05-18","initial","2","3","-1","-33.33%","2"
"Lincoln","2019-05-18","initial","0","0","0","","1"
"Lyon","2019-05-18","initial","45","30","15","50.00%","38"
"Mineral","2019-05-18","initial","0","4","-4","-100.00%","2"
"Nye","2019-05-18","initial","10","21","-11","-52.38%","18"
"Pershing","2019-05-18","initial","1","1","0","0.00%","1"
"Storey","2019-05-18","initial","2","2","0","0.00%","3"
"Washoe","2019-05-18","initial","286","254","32","12.60%","260"
"White Pine","2019-05-18","initial","4","3","1","33.33%","2"
"Unknown","2019-05-18","initial","84","85","-1","-1.18%","88"
"Carson City","2019-05-18","continued","264","256","8","3.12%","262"
"Churchill","2019-05-18","continued","89","78","11","14.10%","90"
"Clark","2019-05-18","continued","13,388","13,396","-8","-0.06%","13,590"
"Douglas","2019-05-18","continued","175","162","13","8.02%","174"
"Elko","2019-05-18","continued","164","167","-3","-1.80%","177"
"Esmeralda","2019-05-18","continued","0","0","0","","1"
"Eureka","2019-05-18","continued","2","2","0","0.00%","3"
"Humboldt","2019-05-18","continued","44","32","12","37.50%","38"
"Lander","2019-05-18","continued","21","20","1","5.00%","20"
"Lincoln","2019-05-18","continued","20","19","1","5.26%","22"
"Lyon","2019-05-18","continued","259","279","-20","-7.17%","280"
"Mineral","2019-05-18","continued","18","10","8","80.00%","14"
"Nye","2019-05-18","continued","204","213","-9","-4.23%","215"
"Pershing","2019-05-18","continued","15","21","-6","-28.57%","21"
"Storey","2019-05-18","continued","8","13","-5","-38.46%","11"
"Washoe","2019-05-18","continued","1,903","1,946","-43","-2.21%","1,977"
"White Pine","2019-05-18","continued","23","22","1","4.55%","23"
"Unknown","2019-05-18","continued","336","345","-9","-2.61%","358"
"Carson City","2019-05-11","initial","50","29","21","72.41%","37"
"Churchill","2019-05-11","initial","14","10","4","40.00%","12"
"Clark","2019-05-11","initial","1,851","1,910","-59","-3.09%","2,046"
"Douglas","2019-05-11","initial","31","19","12","63.16%","24"
"Elko","2019-05-11","initial","23","23","0","0.00%","20"
"Esmeralda","2019-05-11","initial","1","0","1","Inf","0"
"Eureka","2019-05-11","initial","0","0","0","","0"
"Humboldt","2019-05-11","initial","9","4","5","125.00%","5"
"Lander","2019-05-11","initial","3","2","1","50.00%","2"
"Lincoln","2019-05-11","initial","0","2","-2","-100.00%","1"
"Lyon","2019-05-11","initial","30","33","-3","-9.09%","35"
"Mineral","2019-05-11","initial","4","4","0","0.00%","3"
"Nye","2019-05-11","initial","21","20","1","5.00%","23"
"Pershing","2019-05-11","initial","1","0","1","Inf","1"
"Storey","2019-05-11","initial","2","5","-3","-60.00%","3"
"Washoe","2019-05-11","initial","254","251","3","1.20%","256"
"White Pine","2019-05-11","initial","3","2","1","50.00%","2"
"Unknown","2019-05-11","initial","85","90","-5","-5.56%","90"
"Carson City","2019-05-11","continued","256","258","-2","-0.78%","268"
"Churchill","2019-05-11","continued","78","93","-15","-16.13%","91"
"Clark","2019-05-11","continued","13,396","13,606","-210","-1.54%","13,564"
"Douglas","2019-05-11","continued","162","178","-16","-8.99%","182"
"Elko","2019-05-11","continued","167","190","-23","-12.11%","188"
"Esmeralda","2019-05-11","continued","0","1","-1","-100.00%","1"
"Eureka","2019-05-11","continued","2","3","-1","-33.33%","3"
"Humboldt","2019-05-11","continued","32","39","-7","-17.95%","37"
"Lander","2019-05-11","continued","20","18","2","11.11%","20"
"Lincoln","2019-05-11","continued","19","23","-4","-17.39%","23"
"Lyon","2019-05-11","continued","279","291","-12","-4.12%","294"
"Mineral","2019-05-11","continued","10","15","-5","-33.33%","14"
"Nye","2019-05-11","continued","213","225","-12","-5.33%","219"
"Pershing","2019-05-11","continued","21","25","-4","-16.00%","24"
"Storey","2019-05-11","continued","13","12","1","8.33%","11"
"Washoe","2019-05-11","continued","1,946","1,976","-30","-1.52%","2,047"
"White Pine","2019-05-11","continued","22","23","-1","-4.35%","24"
"Unknown","2019-05-11","continued","345","364","-19","-5.22%","369"
"Carson City","2019-05-04","initial","29","31","-2","-6.45%","34"
"Churchill","2019-05-04","initial","10","8","2","25.00%","11"
"Clark","2019-05-04","initial","1,910","1,955","-45","-2.30%","2,063"
"Douglas","2019-05-04","initial","19","21","-2","-9.52%","21"
"Elko","2019-05-04","initial","23","15","8","53.33%","20"
"Esmeralda","2019-05-04","initial","0","0","0","","0"
"Eureka","2019-05-04","initial","0","0","0","","0"
"Humboldt","2019-05-04","initial","4","4","0","0.00%","4"
"Lander","2019-05-04","initial","2","1","1","100.00%","1"
"Lincoln","2019-05-04","initial","2","1","1","100.00%","2"
"Lyon","2019-05-04","initial","33","43","-10","-23.26%","35"
"Mineral","2019-05-04","initial","4","1","3","300.00%","2"
"Nye","2019-05-04","initial","20","22","-2","-9.09%","22"
"Pershing","2019-05-04","initial","0","2","-2","-100.00%","1"
"Storey","2019-05-04","initial","5","4","1","25.00%","2"
"Washoe","2019-05-04","initial","251","247","4","1.62%","255"
"White Pine","2019-05-04","initial","2","0","2","Inf","2"
"Unknown","2019-05-04","initial","90","92","-2","-2.17%","90"
"Carson City","2019-05-04","continued","258","268","-10","-3.73%","273"
"Churchill","2019-05-04","continued","93","101","-8","-7.92%","98"
"Clark","2019-05-04","continued","13,606","13,968","-362","-2.59%","13,428"
"Douglas","2019-05-04","continued","178","183","-5","-2.73%","192"
"Elko","2019-05-04","continued","190","188","2","1.06%","200"
"Esmeralda","2019-05-04","continued","1","2","-1","-50.00%","1"
"Eureka","2019-05-04","continued","3","4","-1","-25.00%","4"
"Humboldt","2019-05-04","continued","39","38","1","2.63%","38"
"Lander","2019-05-04","continued","18","19","-1","-5.26%","20"
"Lincoln","2019-05-04","continued","23","24","-1","-4.17%","24"
"Lyon","2019-05-04","continued","291","292","-1","-0.34%","306"
"Mineral","2019-05-04","continued","15","15","0","0.00%","15"
"Nye","2019-05-04","continued","225","218","7","3.21%","217"
"Pershing","2019-05-04","continued","25","22","3","13.64%","25"
"Storey","2019-05-04","continued","12","10","2","20.00%","10"
"Washoe","2019-05-04","continued","1,976","2,084","-108","-5.18%","2,119"
"White Pine","2019-05-04","continued","23","23","0","0.00%","26"
"Unknown","2019-05-04","continued","364","385","-21","-5.45%","378"
"Carson City","2019-04-27","initial","31","39","-8","-20.51%","34"
"Churchill","2019-04-27","initial","8","15","-7","-46.67%","10"
"Clark","2019-04-27","initial","1,955","2,466","-511","-20.72%","2,021"
"Douglas","2019-04-27","initial","21","25","-4","-16.00%","22"
"Elko","2019-04-27","initial","15","17","-2","-11.76%","18"
"Esmeralda","2019-04-27","initial","0","1","-1","-100.00%","0"
"Eureka","2019-04-27","initial","0","0","0","","0"
"Humboldt","2019-04-27","initial","4","4","0","0.00%","4"
"Lander","2019-04-27","initial","1","0","1","Inf","1"
"Lincoln","2019-04-27","initial","1","1","0","0.00%","2"
"Lyon","2019-04-27","initial","43","33","10","30.30%","36"
"Mineral","2019-04-27","initial","1","3","-2","-66.67%","1"
"Nye","2019-04-27","initial","22","28","-6","-21.43%","22"
"Pershing","2019-04-27","initial","2","1","1","100.00%","1"
"Storey","2019-04-27","initial","4","1","3","300.00%","2"
"Washoe","2019-04-27","initial","247","274","-27","-9.85%","267"
"White Pine","2019-04-27","initial","0","5","-5","-100.00%","2"
"Unknown","2019-04-27","initial","92","92","0","0.00%","91"
"Carson City","2019-04-27","continued","268","288","-20","-6.94%","285"
"Churchill","2019-04-27","continued","101","93","8","8.60%","102"
"Clark","2019-04-27","continued","13,968","13,288","680","5.12%","13,341"
"Douglas","2019-04-27","continued","183","205","-22","-10.73%","200"
"Elko","2019-04-27","continued","188","206","-18","-8.74%","212"
"Esmeralda","2019-04-27","continued","2","1","1","100.00%","2"
"Eureka","2019-04-27","continued","4","4","0","0.00%","4"
"Humboldt","2019-04-27","continued","38","40","-2","-5.00%","39"
"Lander","2019-04-27","continued","19","21","-2","-9.52%","23"
"Lincoln","2019-04-27","continued","24","25","-1","-4.00%","26"
"Lyon","2019-04-27","continued","292","314","-22","-7.01%","323"
"Mineral","2019-04-27","continued","15","15","0","0.00%","15"
"Nye","2019-04-27","continued","218","219","-1","-0.46%","213"
"Pershing","2019-04-27","continued","22","28","-6","-21.43%","26"
"Storey","2019-04-27","continued","10","10","0","0.00%","10"
"Washoe","2019-04-27","continued","2,084","2,182","-98","-4.49%","2,232"
"White Pine","2019-04-27","continued","23","26","-3","-11.54%","29"
"Unknown","2019-04-27","continued","385","382","3","0.79%","387"
"Carson City","2019-04-20","initial","39","37","2","5.41%","36"
"Churchill","2019-04-20","initial","15","11","4","36.36%","12"
"Clark","2019-04-20","initial","2,466","1,920","546","28.44%","1,982"
"Douglas","2019-04-20","initial","25","20","5","25.00%","20"
"Elko","2019-04-20","initial","17","23","-6","-26.09%","21"
"Esmeralda","2019-04-20","initial","1","0","1","Inf","0"
"Eureka","2019-04-20","initial","0","0","0","","0"
"Humboldt","2019-04-20","initial","4","3","1","33.33%","5"
"Lander","2019-04-20","initial","0","2","-2","-100.00%","1"
"Lincoln","2019-04-20","initial","1","3","-2","-66.67%","2"
"Lyon","2019-04-20","initial","33","32","1","3.12%","34"
"Mineral","2019-04-20","initial","3","0","3","Inf","2"
"Nye","2019-04-20","initial","28","20","8","40.00%","22"
"Pershing","2019-04-20","initial","1","1","0","0.00%","2"
"Storey","2019-04-20","initial","1","0","1","Inf","1"
"Washoe","2019-04-20","initial","274","248","26","10.48%","270"
"White Pine","2019-04-20","initial","5","2","3","150.00%","2"
"Unknown","2019-04-20","initial","92","87","5","5.75%","85"
"Carson City","2019-04-20","continued","288","279","9","3.23%","299"
