CountyFips,County,Year,Week,Week ending,Initial claims,Change from prior week,% change,,,,
67,THURSTON,2020,Week 07,02/16/20 - 02/22/20,223,-34,-13.2%,,,,
67,THURSTON,2020,Week 08,02/23/20 - 02/29/20,223,0,0.0%,,,,
67,THURSTON,2020,Week 09,03/01/20 - 03/07/20,265,42,18.8%,,,,
67,THURSTON,2020,Week 10,03/08/20 - 03/14/20,351,86,32.5%,,,,
67,THURSTON,2020,Week 11,03/15/20 - 03/21/20,4708,4357,1241.3%,,,,
67,THURSTON,2020,Week 12,03/22/20 - 03/28/20,6804,2096,44.5%,,,,
67,THURSTON,2020,Week 13,03/29/20 - 04/04/20,6095,-709,-10.4%,,,,
67,THURSTON,2020,Week 14,04/05/20 - 04/11/20,4239,-1856,-30.5%,,,,
67,THURSTON,2020,Week 15,04/12/20 - 04/18/20,2882,-1357,-32.0%,,,,
69,WAHKIAKUM,2020,Week 01,01/05/20 - 01/11/20,2,1,100.0%,,,,
69,WAHKIAKUM,2020,Week 02,01/12/20 - 01/18/20,1,-1,-50.0%,,,,
69,WAHKIAKUM,2020,Week 03,01/19/20 - 01/25/20,1,0,0.0%,,,,
69,WAHKIAKUM,2020,Week 04,01/26/20 - 02/01/20,1,0,0.0%,,,,
69,WAHKIAKUM,2020,Week 05,02/02/20 - 02/08/20,3,2,200.0%,,,,
