state_name,state_fips,state_abbrev,county_name,county_fips,year,month,unemployed,unemployment_rate
South Dakota,46,SD,Union,46127,2020,1,324,3.80%
South Dakota,46,SD,Walworth,46129,2020,1,151,7.20%
South Dakota,46,SD,Yankton,46135,2020,1,378,3.20%
South Dakota,46,SD,Ziebach,46137,2020,1,37,4.10%
South Dakota,46,SD,Aurora,46003,2019,12,47,3.10%
South Dakota,46,SD,Beadle,46005,2019,12,308,3.20%
South Dakota,46,SD,Bennett,46007,2019,12,58,5.30%
South Dakota,46,SD,Bon Homme,46009,2019,12,106,3.70%
South Dakota,46,SD,Brookings,46011,2019,12,719,3.70%
South Dakota,46,SD,Brown,46013,2019,12,667,3.20%
South Dakota,46,SD,Brule,46015,2019,12,77,3.20%
South Dakota,46,SD,Buffalo,46017,2019,12,45,6.70%
South Dakota,46,SD,Butte,46019,2019,12,206,4.10%
South Dakota,46,SD,Campbell,46021,2019,12,31,3.90%
South Dakota,46,SD,Charles Mix,46023,2019,12,155,4.20%
South Dakota,46,SD,Clark,46025,2019,12,58,3.10%
South Dakota,46,SD,Clay,46027,2019,12,285,3.80%
South Dakota,46,SD,Codington,46029,2019,12,505,3.20%
South Dakota,46,SD,Corson,46031,2019,12,71,5.10%
South Dakota,46,SD,Custer,46033,2019,12,202,5.10%
South Dakota,46,SD,Davison,46035,2019,12,363,3.30%
South Dakota,46,SD,Day,46037,2019,12,142,5.20%
South Dakota,46,SD,Deuel,46039,2019,12,121,5.60%
South Dakota,46,SD,Dewey,46041,2019,12,155,7.00%
South Dakota,46,SD,Douglas,46043,2019,12,52,3.20%
South Dakota,46,SD,Edmunds,46045,2019,12,66,3.20%
South Dakota,46,SD,Fall River,46047,2019,12,123,4.30%
South Dakota,46,SD,Faulk,46049,2019,12,37,3.40%
South Dakota,46,SD,Grant,46051,2019,12,152,3.40%
South Dakota,46,SD,Gregory,46053,2019,12,77,3.70%
South Dakota,46,SD,Haakon,46055,2019,12,34,3.20%
South Dakota,46,SD,Hamlin,46057,2019,12,110,3.30%
South Dakota,46,SD,Hand,46059,2019,12,53,2.90%
South Dakota,46,SD,Hanson,46061,2019,12,95,5.40%
South Dakota,46,SD,Harding,46063,2019,12,21,2.80%
South Dakota,46,SD,Hughes,46065,2019,12,266,2.70%
South Dakota,46,SD,Hutchinson,46067,2019,12,134,3.70%
