Week Ending,Claims for Chart (from parameter),Continued Weeks Claimed,Continued Weeks Claimed (52-week MA),Initial Claims,Initial Claims (52-week MA),MA Claims for Chart (from parameter),Number of Records
1/8/2000,"8,889","32,519","17,631","8,889","2,872","2,872",1
1/15/2000,"3,512","31,341","17,566","3,512","2,871","2,871",1
1/22/2000,"3,004","29,221","17,519","3,004","2,885","2,885",1
1/29/2000,"3,249","30,141","17,539","3,249","2,904","2,904",1
2/5/2000,"2,782","30,604","17,579","2,782","2,915","2,915",1
2/12/2000,"2,248","30,432","17,624","2,248","2,921","2,921",1
2/19/2000,"2,721","29,890","17,667","2,721","2,937","2,937",1
2/26/2000,"2,115","30,214","17,732","2,115","2,940","2,940",1
3/4/2000,"2,752","29,063","17,775","2,752","2,951","2,951",1
3/11/2000,"2,080","27,855","17,819","2,080","2,950","2,950",1
3/18/2000,"1,871","25,753","17,823","1,871","2,953","2,953",1
3/25/2000,"1,594","23,621","17,834","1,594","2,950","2,950",1
4/1/2000,"1,485","21,988","17,868","1,485","2,927","2,927",1
4/8/2000,"2,197","19,116","17,874","2,197","2,923","2,923",1
4/15/2000,"1,770","17,906","17,880","1,770","2,916","2,916",1
4/22/2000,"1,761","16,863","17,896","1,761","2,916","2,916",1
4/29/2000,"1,716","16,121","17,917","1,716","2,905","2,905",1
5/6/2000,"1,807","14,839","17,917","1,807","2,885","2,885",1
5/13/2000,"1,727","14,332","17,911","1,727","2,880","2,880",1
5/20/2000,"1,687","14,052","17,918","1,687","2,850","2,850",1
5/27/2000,"2,121","13,864","17,907","2,121","2,830","2,830",1
6/3/2000,"2,185","13,693","17,884","2,185","2,832","2,832",1
6/10/2000,"1,975","14,307","17,906","1,975","2,832","2,832",1
6/17/2000,"2,600","14,234","17,931","2,600","2,850","2,850",1
6/24/2000,"1,776","15,141","17,973","1,776","2,837","2,837",1
7/1/2000,"1,655","14,460","17,994","1,655","2,817","2,817",1
7/8/2000,"5,374","14,079","18,004","5,374","2,839","2,839",1
7/15/2000,"2,462","18,204","18,057","2,462","2,793","2,793",1
7/22/2000,"1,833","15,563","18,064","1,833","2,773","2,773",1
7/29/2000,"1,808","14,733","18,048","1,808","2,767","2,767",1
8/5/2000,"1,597","14,961","18,046","1,597","2,755","2,755",1
8/12/2000,"1,634","13,989","18,045","1,634","2,734","2,734",1
8/19/2000,"1,555","14,155","18,035","1,555","2,719","2,719",1
8/26/2000,"1,742","13,892","18,046","1,742","2,712","2,712",1
9/2/2000,"1,956","13,144","18,067","1,956","2,696","2,696",1
9/9/2000,"1,337","12,991","18,078","1,337","2,691","2,691",1
9/16/2000,"1,504","12,231","18,103","1,504","2,678","2,678",1
9/23/2000,"1,652","11,992","18,112","1,652","2,679","2,679",1
9/30/2000,"2,207","11,992","18,136","2,207","2,681","2,681",1
10/7/2000,"2,161","12,523","18,166","2,161","2,674","2,674",1
10/14/2000,"2,073","12,540","18,193","2,073","2,675","2,675",1
10/21/2000,"2,111","12,740","18,221","2,111","2,677","2,677",1
10/28/2000,"2,339","12,900","18,248","2,339","2,638","2,638",1
11/4/2000,"3,044","13,366","18,238","3,044","2,656","2,656",1
11/11/2000,"2,938","13,864","18,281","2,938","2,679","2,679",1
11/18/2000,"4,677","15,434","18,354","4,677","2,711","2,711",1
11/25/2000,"5,649","16,772","18,436","5,649","2,764","2,764",1
12/2/2000,"4,211","21,838","18,558","4,211","2,773","2,773",1
12/9/2000,"4,411","20,417","18,644","4,411","2,771","2,771",1
12/16/2000,"6,067","22,809","18,733","6,067","2,809","2,809",1
12/23/2000,"8,403","27,334","18,878","8,403","2,815","2,815",1
12/30/2000,"14,201","32,637","19,013","14,201","2,927","2,927",1
1/6/2001,"3,925","43,926","19,232","3,925","2,832","2,832",1
1/13/2001,"5,233","37,192","19,345","5,233","2,865","2,865",1
1/20/2001,"3,597","34,093","19,438","3,597","2,876","2,876",1
1/27/2001,"3,284","35,015","19,532","3,284","2,877","2,877",1
2/3/2001,"3,145","34,207","19,601","3,145","2,884","2,884",1
2/10/2001,"3,060","35,151","19,692","3,060","2,900","2,900",1
2/17/2001,"3,424","35,002","19,791","3,424","2,913","2,913",1
2/24/2001,"2,682","35,342","19,889","2,682","2,924","2,924",1
3/3/2001,"2,957","35,020","20,004","2,957","2,928","2,928",1
3/10/2001,"2,695","34,202","20,126","2,695","2,940","2,940",1
3/17/2001,"2,740","33,567","20,276","2,740","2,957","2,957",1
3/24/2001,"2,838","33,746","20,471","2,838","2,981","2,981",1
3/31/2001,"3,695","31,834","20,660","3,695","3,023","3,023",1
4/7/2001,"3,210","31,112","20,891","3,210","3,043","3,043",1
4/14/2001,"2,243","27,801","21,081","2,243","3,052","3,052",1
4/21/2001,"3,041","26,083","21,258","3,041","3,076","3,076",1
4/28/2001,"6,359","24,067","21,411","6,359","3,166","3,166",1
5/5/2001,"2,761","25,601","21,618","2,761","3,184","3,184",1
5/12/2001,"2,337","22,412","21,774","2,337","3,196","3,196",1
5/19/2001,"3,573","21,179","21,911","3,573","3,232","3,232",1
5/26/2001,"2,968","21,847","22,064","2,968","3,248","3,248",1
6/2/2001,"2,498","21,005","22,205","2,498","3,254","3,254",1
6/9/2001,"3,337","20,557","22,325","3,337","3,280","3,280",1
6/16/2001,"3,273","21,067","22,456","3,273","3,293","3,293",1
6/23/2001,"2,582","21,287","22,575","2,582","3,309","3,309",1
6/30/2001,"4,284","20,759","22,696","4,284","3,359","3,359",1
7/7/2001,"10,344","21,938","22,847","10,344","3,455","3,455",1
7/14/2001,"3,731","28,782","23,050","3,731","3,479","3,479",1
7/21/2001,"3,234","22,928","23,192","3,234","3,506","3,506",1
7/28/2001,"3,162","22,406","23,339","3,162","3,532","3,532",1
8/4/2001,"2,967","22,580","23,486","2,967","3,559","3,559",1
8/11/2001,"4,049","22,164","23,643","4,049","3,605","3,605",1
8/18/2001,"2,248","22,860","23,811","2,248","3,618","3,618",1
8/25/2001,"2,461","20,808","23,944","2,461","3,632","3,632",1
9/1/2001,"2,413","20,282","24,081","2,413","3,641","3,641",1
9/8/2001,"2,608","18,870","24,194","2,608","3,666","3,666",1
9/15/2001,"4,496","19,227","24,328","4,496","3,723","3,723",1
9/22/2001,"3,480","20,791","24,498","3,480","3,758","3,758",1
9/29/2001,"4,421","20,669","24,664","4,421","3,801","3,801",1
10/6/2001,"4,096","21,704","24,841","4,096","3,838","3,838",1
10/13/2001,"3,557","21,448","25,012","3,557","3,867","3,867",1
10/20/2001,"5,222","21,487","25,181","5,222","3,926","3,926",1
10/27/2001,"4,544","23,906","25,392","4,544","3,969","3,969",1
11/3/2001,"3,554","25,213","25,620","3,554","3,979","3,979",1
11/10/2001,"3,976","23,574","25,807","3,976","3,999","3,999",1
11/17/2001,"3,895","24,107","25,974","3,895","3,983","3,983",1
11/24/2001,"7,852","24,134","26,115","7,852","4,026","4,026",1
12/1/2001,"7,039","31,350","26,298","7,039","4,080","4,080",1
12/8/2001,"4,629","29,542","26,474","4,629","4,084","4,084",1
12/15/2001,"4,589","30,346","26,618","4,589","4,056","4,056",1
12/22/2001,"6,273","31,954","26,707","6,273","4,015","4,015",1
12/29/2001,"14,603","34,468","26,743","14,603","4,023","4,023",1
1/5/2002,"9,182","48,084","26,823","9,182","4,124","4,124",1
1/12/2002,"6,528","47,594","27,023","6,528","4,149","4,149",1
1/19/2002,"5,441","42,891","27,192","5,441","4,184","4,184",1
1/26/2002,"3,764","44,819","27,380","3,764","4,193","4,193",1
2/2/2002,"3,635","43,659","27,562","3,635","4,203","4,203",1
2/9/2002,"3,971","44,074","27,734","3,971","4,220","4,220",1
2/16/2002,"3,478","44,282","27,912","3,478","4,221","4,221",1
2/23/2002,"3,125","43,988","28,078","3,125","4,230","4,230",1
3/2/2002,"3,108","43,538","28,242","3,108","4,233","4,233",1
3/9/2002,"3,061","43,213","28,415","3,061","4,240","4,240",1
3/16/2002,"3,013","42,451","28,586","3,013","4,245","4,245",1
3/23/2002,"2,760","40,770","28,721","2,760","4,244","4,244",1
3/30/2002,"3,595","38,451","28,849","3,595","4,242","4,242",1
4/6/2002,"4,068","37,058","28,963","4,068","4,258","4,258",1
4/13/2002,"4,567","35,337","29,108","4,567","4,303","4,303",1
4/20/2002,"2,768","33,701","29,254","2,768","4,298","4,298",1
4/27/2002,"2,626","30,719","29,382","2,626","4,226","4,226",1
5/4/2002,"3,242","29,204","29,452","3,242","4,235","4,235",1
5/11/2002,"2,647","28,701","29,573","2,647","4,241","4,241",1
5/18/2002,"2,485","26,847","29,682","2,485","4,220","4,220",1
5/25/2002,"2,779","25,794","29,757","2,779","4,217","4,217",1
6/1/2002,"2,493","25,297","29,840","2,493","4,216","4,216",1
6/8/2002,"3,195","25,725","29,939","3,195","4,214","4,214",1
6/15/2002,"2,725","25,822","30,031","2,725","4,203","4,203",1
6/22/2002,"3,037","25,639","30,115","3,037","4,212","4,212",1
6/29/2002,"2,706","26,051","30,216","2,706","4,182","4,182",1
7/6/2002,"7,058","25,086","30,277","7,058","4,118","4,118",1
7/13/2002,"3,958","30,066","30,302","3,958","4,123","4,123",1
7/20/2002,"2,692","26,502","30,370","2,692","4,112","4,112",1
7/27/2002,"2,936","25,689","30,433","2,936","4,108","4,108",1
8/3/2002,"2,728","25,681","30,493","2,728","4,103","4,103",1
8/10/2002,"4,638","25,195","30,551","4,638","4,115","4,115",1
8/17/2002,"2,247","26,326","30,618","2,247","4,115","4,115",1
8/24/2002,"2,352","25,511","30,708","2,352","4,113","4,113",1
8/31/2002,"2,872","23,613","30,772","2,872","4,121","4,121",1
9/7/2002,"2,716","22,578","30,844","2,716","4,124","4,124",1
9/14/2002,"2,779","22,830","30,913","2,779","4,090","4,090",1
9/21/2002,"2,273","22,615","30,948","2,273","4,067","4,067",1
9/28/2002,"3,918","22,164","30,977","3,918","4,058","4,058",1
10/5/2002,"2,861","23,236","31,006","2,861","4,034","4,034",1
10/12/2002,"3,012","22,397","31,025","3,012","4,023","4,023",1
10/19/2002,"4,219","22,419","31,043","4,219","4,004","4,004",1
10/26/2002,"3,361","24,048","31,045","3,361","3,981","3,981",1
11/2/2002,"5,405","25,767","31,056","5,405","4,017","4,017",1
11/9/2002,"3,351","25,099","31,085","3,351","4,005","4,005",1
11/16/2002,"2,955","24,252","31,088","2,955","3,987","3,987",1
11/23/2002,"3,581","24,815","31,101","3,581","3,905","3,905",1
11/30/2002,"6,341","24,873","30,977","6,341","3,891","3,891",1
12/7/2002,"6,001","31,676","31,018","6,001","3,918","3,918",1
12/14/2002,"4,647","30,928","31,029","4,647","3,919","3,919",1
12/21/2002,"5,189","32,556","31,040","5,189","3,898","3,898",1
12/28/2002,"14,178","34,043","31,032","14,178","3,890","3,890",1
1/4/2003,"6,713","46,988","31,011","6,713","3,842","3,842",1
1/11/2003,"6,181","47,421","31,008","6,181","3,836","3,836",1
1/18/2003,"5,076","42,355","30,997","5,076","3,829","3,829",1
1/25/2003,"4,207","43,517","30,972","4,207","3,837","3,837",1
2/1/2003,"3,699","45,396","31,006","3,699","3,838","3,838",1
2/8/2003,"3,767","45,077","31,025","3,767","3,834","3,834",1
2/15/2003,"3,674","46,182","31,062","3,674","3,838","3,838",1
2/22/2003,"3,073","45,771","31,096","3,073","3,837","3,837",1
3/1/2003,"3,330","45,316","31,130","3,330","3,841","3,841",1
3/8/2003,"3,263","45,169","31,168","3,263","3,845","3,845",1
3/15/2003,"3,813","45,195","31,221","3,813","3,861","3,861",1
3/22/2003,"3,131","43,673","31,276","3,131","3,868","3,868",1
3/29/2003,"3,105","42,406","31,352","3,105","3,858","3,858",1
4/5/2003,"3,532","39,217","31,394","3,532","3,848","3,848",1
4/12/2003,"3,534","35,651","31,400","3,534","3,828","3,828",1
4/19/2003,"2,918","34,576","31,417","2,918","3,831","3,831",1
4/26/2003,"2,554","31,520","31,432","2,554","3,830","3,830",1
5/3/2003,"4,504","29,309","31,434","4,504","3,854","3,854",1
5/10/2003,"3,268","30,338","31,466","3,268","3,866","3,866",1
5/17/2003,"2,791","29,583","31,518","2,791","3,872","3,872",1
5/24/2003,"2,931","26,917","31,540","2,931","3,875","3,875",1
5/31/2003,"3,718","26,322","31,560","3,718","3,898","3,898",1
6/7/2003,"3,587","27,667","31,597","3,587","3,906","3,906",1
6/14/2003,"3,114","27,744","31,634","3,114","3,913","3,913",1
6/21/2003,"2,977","28,010","31,680","2,977","3,912","3,912",1
6/28/2003,"2,918","27,890","31,715","2,918","3,916","3,916",1
7/5/2003,"8,030","26,917","31,750","8,030","3,935","3,935",1
7/12/2003,"4,825","33,016","31,807","4,825","3,952","3,952",1
7/19/2003,"4,077","29,154","31,858","4,077","3,978","3,978",1
7/26/2003,"2,695","29,148","31,924","2,695","3,974","3,974",1
8/2/2003,"2,905","27,818","31,965","2,905","3,977","3,977",1
8/9/2003,"3,030","27,209","32,004","3,030","3,946","3,946",1
8/16/2003,"2,182","26,335","32,004","2,182","3,945","3,945",1
8/23/2003,"2,603","25,676","32,008","2,603","3,950","3,950",1
8/30/2003,"2,559","24,613","32,027","2,559","3,944","3,944",1
9/6/2003,"2,009","23,468","32,044","2,009","3,930","3,930",1
9/13/2003,"2,075","22,900","32,045","2,075","3,917","3,917",1
9/20/2003,"2,430","22,555","32,044","2,430","3,920","3,920",1
9/27/2003,"2,976","22,302","32,047","2,976","3,901","3,901",1
10/4/2003,"2,083","22,313","32,029","2,083","3,886","3,886",1
10/11/2003,"3,089","21,546","32,013","3,089","3,888","3,888",1
10/18/2003,"3,005","21,858","32,002","3,005","3,865","3,865",1
10/25/2003,"3,295","21,967","31,962","3,295","3,863","3,863",1
11/1/2003,"4,943","22,860","31,906","4,943","3,854","3,854",1
11/8/2003,"4,109","24,498","31,894","4,109","3,869","3,869",1
11/15/2003,"3,072","23,917","31,888","3,072","3,871","3,871",1
11/22/2003,"3,426","24,072","31,874","3,426","3,868","3,868",1
11/29/2003,"5,183","24,374","31,864","5,183","3,846","3,846",1
12/6/2003,"4,762","29,070","31,814","4,762","3,822","3,822",1
12/13/2003,"5,037","28,373","31,765","5,037","3,830","3,830",1
12/20/2003,"4,923","31,443","31,743","4,923","3,825","3,825",1
12/27/2003,"8,860","32,384","31,711","8,860","3,722","3,722",1
1/3/2004,"6,905","39,978","31,577","6,905","3,726","3,726",1
1/10/2004,"6,707","44,341","31,517","6,707","3,736","3,736",1
1/17/2004,"3,587","41,736","31,506","3,587","3,708","3,708",1
1/24/2004,"3,315","39,788","31,434","3,315","3,690","3,690",1
1/31/2004,"4,201","40,855","31,346","4,201","3,700","3,700",1
2/7/2004,"3,753","42,656","31,300","3,753","3,700","3,700",1
2/14/2004,"2,977","43,209","31,243","2,977","3,686","3,686",1
2/21/2004,"2,692","41,959","31,169","2,692","3,679","3,679",1
2/28/2004,"2,444","40,879","31,084","2,444","3,662","3,662",1
3/6/2004,"2,988","39,956","30,984","2,988","3,657","3,657",1
3/13/2004,"2,325","39,033","30,865","2,325","3,628","3,628",1
3/20/2004,"2,501","36,701","30,731","2,501","3,616","3,616",1
3/27/2004,"2,717","35,627","30,601","2,717","3,608","3,608",1
4/3/2004,"2,318","32,522","30,472","2,318","3,585","3,585",1
4/10/2004,"2,530","29,148","30,347","2,530","3,566","3,566",1
4/17/2004,"2,496","25,888","30,180","2,496","3,558","3,558",1
4/24/2004,"2,122","24,261","30,040","2,122","3,549","3,549",1
5/1/2004,"2,404","22,933","29,918","2,404","3,509","3,509",1
5/8/2004,"2,245","22,457","29,766","2,245","3,489","3,489",1
5/15/2004,"2,274","21,479","29,610","2,274","3,479","3,479",1
5/22/2004,"2,228","21,209","29,501","2,228","3,466","3,466",1
5/29/2004,"2,819","20,963","29,398","2,819","3,449","3,449",1
6/5/2004,"2,720","21,048","29,270","2,720","3,432","3,432",1
6/12/2004,"2,463","21,343","29,147","2,463","3,419","3,419",1
6/19/2004,"2,212","21,395","29,020","2,212","3,405","3,405",1
6/26/2004,"2,582","21,510","28,897","2,582","3,398","3,398",1
7/3/2004,"3,007","21,367","28,791","3,007","3,302","3,302",1
7/10/2004,"4,711","21,396","28,567","4,711","3,299","3,299",1
7/17/2004,"3,243","23,555","28,459","3,243","3,283","3,283",1
7/24/2004,"2,339","22,066","28,323","2,339","3,277","3,277",1
7/31/2004,"2,344","21,382","28,199","2,344","3,266","3,266",1
8/7/2004,"2,636","20,997","28,080","2,636","3,258","3,258",1
8/14/2004,"1,959","21,272","27,983","1,959","3,254","3,254",1
8/21/2004,"2,749","20,264","27,879","2,749","3,257","3,257",1
8/28/2004,"2,484","19,420","27,779","2,484","3,255","3,255",1
9/4/2004,"1,981","19,762","27,707","1,981","3,255","3,255",1
9/11/2004,"2,069","18,343","27,620","2,069","3,255","3,255",1
9/18/2004,"1,836","18,773","27,547","1,836","3,243","3,243",1
9/25/2004,"2,079","17,959","27,464","2,079","3,226","3,226",1
10/2/2004,"1,940","17,930","27,379","1,940","3,223","3,223",1
10/9/2004,"2,850","17,276","27,297","2,850","3,219","3,219",1
10/16/2004,"1,942","17,896","27,221","1,942","3,198","3,198",1
10/23/2004,"2,227","17,977","27,144","2,227","3,178","3,178",1
10/30/2004,"2,707","17,904","27,049","2,707","3,135","3,135",1
11/6/2004,"3,191","18,671","26,937","3,191","3,117","3,117",1
11/13/2004,"2,554","18,973","26,842","2,554","3,107","3,107",1
11/20/2004,"2,880","19,176","26,748","2,880","3,097","3,097",1
11/27/2004,"3,177","19,065","26,646","3,177","3,058","3,058",1
12/4/2004,"4,904","22,444","26,518","4,904","3,061","3,061",1
12/11/2004,"4,035","23,474","26,424","4,035","3,041","3,041",1
12/18/2004,"4,232","25,328","26,306","4,232","3,028","3,028",1
12/25/2004,"7,079","26,282","26,189","7,079","2,994","2,994",1
1/1/2005,"10,846","31,861","26,033","10,846","3,070","3,070",1
1/8/2005,"8,897","41,146","25,971","8,897","3,112","3,112",1
1/15/2005,"5,011","39,650","25,931","5,011","3,139","3,139",1
1/22/2005,"3,082","38,681","25,910","3,082","3,135","3,135",1
1/29/2005,"2,828","37,903","25,853","2,828","3,108","3,108",1
2/5/2005,"3,019","37,405","25,752","3,019","3,094","3,094",1
2/12/2005,"2,790","37,107","25,635","2,790","3,091","3,091",1
2/19/2005,"2,487","37,143","25,542","2,487","3,087","3,087",1
2/26/2005,"2,300","36,364","25,455","2,300","3,084","3,084",1
3/5/2005,"2,323","35,513","25,370","2,323","3,071","3,071",1
3/12/2005,"2,273","34,007","25,273","2,273","3,070","3,070",1
3/19/2005,"2,195","32,554","25,194","2,195","3,064","3,064",1
3/26/2005,"2,209","30,625","25,097","2,209","3,054","3,054",1
4/2/2005,"2,233","28,478","25,020","2,233","3,053","3,053",1
4/9/2005,"2,471","25,408","24,948","2,471","3,052","3,052",1
4/16/2005,"2,294","22,627","24,885","2,294","3,048","3,048",1
4/23/2005,"2,324","21,382","24,830","2,324","3,052","3,052",1
4/30/2005,"2,534","20,499","24,783","2,534","3,054","3,054",1
5/7/2005,"2,520","19,796","24,732","2,520","3,059","3,059",1
5/14/2005,"2,298","18,976","24,684","2,298","3,060","3,060",1
5/21/2005,"2,218","18,824","24,638","2,218","3,060","3,060",1
5/28/2005,"2,390","18,314","24,587","2,390","3,051","3,051",1
6/4/2005,"2,311","18,323","24,534","2,311","3,044","3,044",1
6/11/2005,"2,519","18,831","24,486","2,519","3,045","3,045",1
6/18/2005,"2,013","18,971","24,439","2,013","3,041","3,041",1
6/25/2005,"2,705","18,904","24,389","2,705","3,043","3,043",1
7/2/2005,"2,589","19,178","24,347","2,589","3,035","3,035",1
7/9/2005,"5,571","18,974","24,301","5,571","3,052","3,052",1
7/16/2005,"2,937","22,569","24,282","2,937","3,046","3,046",1
7/23/2005,"2,523","22,328","24,287","2,523","3,049","3,049",1
7/30/2005,"2,254","19,828","24,257","2,254","3,048","3,048",1
8/6/2005,"3,542","19,154","24,221","3,542","3,065","3,065",1
8/13/2005,"3,040","20,317","24,203","3,040","3,086","3,086",1
8/20/2005,"2,070","19,439","24,187","2,070","3,073","3,073",1
8/27/2005,"2,469","18,040","24,161","2,469","3,072","3,072",1
9/3/2005,"3,339","17,567","24,118","3,339","3,099","3,099",1
9/10/2005,"1,874","17,546","24,103","1,874","3,095","3,095",1
9/17/2005,"2,332","16,447","24,058","2,332","3,104","3,104",1
9/24/2005,"2,366","16,522","24,031","2,366","3,110","3,110",1
10/1/2005,"2,547","16,668","24,006","2,547","3,122","3,122",1
10/8/2005,"3,289","16,544","23,992","3,289","3,130","3,130",1
10/15/2005,"2,615","17,256","23,980","2,615","3,143","3,143",1
10/22/2005,"3,863","16,734","23,956","3,863","3,174","3,174",1
10/29/2005,"2,527","18,558","23,969","2,527","3,171","3,171",1
11/5/2005,"2,769","17,485","23,946","2,769","3,163","3,163",1
11/12/2005,"2,371","16,977","23,908","2,371","3,159","3,159",1
11/19/2005,"4,297","17,978","23,885","4,297","3,187","3,187",1
11/26/2005,"3,168","19,155","23,886","3,168","3,186","3,186",1
12/3/2005,"6,026","21,729","23,872","6,026","3,208","3,208",1
12/10/2005,"7,296","24,410","23,890","7,296","3,271","3,271",1
12/17/2005,"3,794","29,679","23,974","3,794","3,262","3,262",1
12/24/2005,"7,606","29,083","24,028","7,606","3,272","3,272",1
12/31/2005,"10,087","33,456","24,059","10,087","3,258","3,258",1
1/7/2006,"5,644","39,473","24,027","5,644","3,195","3,195",1
1/14/2006,"3,612","35,579","23,948","3,612","3,168","3,168",1
1/21/2006,"2,956","35,128","23,880","2,956","3,166","3,166",1
1/28/2006,"2,958","34,787","23,820","2,958","3,168","3,168",1
2/4/2006,"2,842","34,602","23,766","2,842","3,165","3,165",1
2/11/2006,"2,907","34,350","23,713","2,907","3,167","3,167",1
2/18/2006,"2,642","34,327","23,659","2,642","3,170","3,170",1
2/25/2006,"2,518","34,177","23,617","2,518","3,174","3,174",1
3/4/2006,"2,701","33,936","23,587","2,701","3,182","3,182",1
3/11/2006,"2,706","32,739","23,562","2,706","3,190","3,190",1
3/18/2006,"2,509","32,106","23,554","2,509","3,196","3,196",1
3/25/2006,"2,850","30,823","23,557","2,850","3,208","3,208",1
4/1/2006,"3,237","29,703","23,581","3,237","3,228","3,228",1
4/8/2006,"2,853","28,458","23,640","2,853","3,235","3,235",1
4/15/2006,"2,268","24,599","23,677","2,268","3,235","3,235",1
4/22/2006,"1,901","21,810","23,686","1,901","3,226","3,226",1
4/29/2006,"2,276","19,787","23,672","2,276","3,221","3,221",1
5/6/2006,"4,527","19,315","23,663","4,527","3,260","3,260",1
5/13/2006,"2,292","20,893","23,700","2,292","3,260","3,260",1
5/20/2006,"2,211","18,872","23,701","2,211","3,260","3,260",1
5/27/2006,"2,719","18,458","23,703","2,719","3,266","3,266",1
6/3/2006,"2,822","18,617","23,709","2,822","3,276","3,276",1
6/10/2006,"2,600","19,206","23,716","2,600","3,278","3,278",1
6/17/2006,"2,230","19,173","23,720","2,230","3,282","3,282",1
6/24/2006,"2,262","18,822","23,718","2,262","3,273","3,273",1
7/1/2006,"2,484","19,044","23,716","2,484","3,271","3,271",1
7/8/2006,"5,949","18,936","23,715","5,949","3,278","3,278",1
7/15/2006,"2,608","23,142","23,726","2,608","3,272","3,272",1
7/22/2006,"2,259","20,332","23,688","2,259","3,267","3,267",1
7/29/2006,"2,671","19,720","23,686","2,671","3,275","3,275",1
8/5/2006,"2,801","19,669","23,696","2,801","3,261","3,261",1
8/12/2006,"3,144","19,581","23,681","3,144","3,263","3,263",1
8/19/2006,"2,290","20,055","23,693","2,290","3,267","3,267",1
8/26/2006,"2,510","18,355","23,699","2,510","3,268","3,268",1
9/2/2006,"2,105","17,963","23,707","2,105","3,244","3,244",1
9/9/2006,"3,525","17,265","23,702","3,525","3,276","3,276",1
9/16/2006,"3,190","18,007","23,732","3,190","3,292","3,292",1
9/23/2006,"2,416","17,625","23,753","2,416","3,293","3,293",1
9/30/2006,"2,340","17,222","23,763","2,340","3,289","3,289",1
10/7/2006,"3,110","16,812","23,769","3,110","3,286","3,286",1
10/14/2006,"2,936","16,987","23,763","2,936","3,292","3,292",1
10/21/2006,"3,356","17,326","23,775","3,356","3,282","3,282",1
10/28/2006,"3,551","17,524","23,755","3,551","3,302","3,302",1
11/4/2006,"3,471","18,330","23,771","3,471","3,315","3,315",1
11/11/2006,"2,965","17,994","23,791","2,965","3,327","3,327",1
11/18/2006,"3,992","19,451","23,819","3,992","3,321","3,321",1
11/25/2006,"5,003","18,815","23,813","5,003","3,356","3,356",1
12/2/2006,"5,918","24,443","23,865","5,918","3,354","3,354",1
12/9/2006,"5,478","24,106","23,859","5,478","3,319","3,319",1
12/16/2006,"4,147","26,567","23,799","4,147","3,326","3,326",1
12/23/2006,"7,678","27,610","23,771","7,678","3,327","3,327",1
12/30/2006,"12,924","31,429","23,732","12,924","3,382","3,382",1
1/6/2007,"5,058","41,355","23,768","5,058","3,371","3,371",1
1/13/2007,"5,799","35,410","23,765","5,799","3,413","3,413",1
1/20/2007,"4,737","35,146","23,765","4,737","3,447","3,447",1
1/27/2007,"3,793","37,525","23,818","3,793","3,463","3,463",1
2/3/2007,"3,674","37,343","23,870","3,674","3,479","3,479",1
2/10/2007,"3,701","38,123","23,943","3,701","3,494","3,494",1
2/17/2007,"3,309","38,858","24,030","3,309","3,507","3,507",1
2/24/2007,"3,183","38,453","24,112","3,183","3,520","3,520",1
3/3/2007,"2,615","36,819","24,168","2,615","3,518","3,518",1
3/10/2007,"2,884","37,673","24,263","2,884","3,522","3,522",1
3/17/2007,"2,755","35,224","24,323","2,755","3,526","3,526",1
3/24/2007,"2,611","33,380","24,372","2,611","3,522","3,522",1
3/31/2007,"2,383","31,115","24,399","2,383","3,505","3,505",1
4/7/2007,"2,961","28,649","24,403","2,961","3,508","3,508",1
4/14/2007,"2,553","27,053","24,450","2,553","3,513","3,513",1
4/21/2007,"2,115","24,847","24,508","2,115","3,517","3,517",1
4/28/2007,"2,523","21,641","24,544","2,523","3,522","3,522",1
5/5/2007,"2,300","21,601","24,588","2,300","3,479","3,479",1
5/12/2007,"2,211","19,339","24,558","2,211","3,478","3,478",1
5/19/2007,"2,046","18,397","24,549","2,046","3,474","3,474",1
5/26/2007,"2,167","17,979","24,540","2,167","3,464","3,464",1
6/2/2007,"2,922","17,890","24,526","2,922","3,466","3,466",1
6/9/2007,"2,550","18,799","24,518","2,550","3,465","3,465",1
6/16/2007,"2,573","18,198","24,499","2,573","3,471","3,471",1
6/23/2007,"2,121","18,211","24,487","2,121","3,469","3,469",1
6/30/2007,"2,105","17,980","24,467","2,105","3,461","3,461",1
7/7/2007,"6,152","17,229","24,434","6,152","3,465","3,465",1
7/14/2007,"2,289","21,788","24,408","2,289","3,459","3,459",1
7/21/2007,"2,001","18,074","24,365","2,001","3,454","3,454",1
7/28/2007,"2,194","17,695","24,326","2,194","3,445","3,445",1
8/4/2007,"2,934","17,879","24,291","2,934","3,447","3,447",1
8/11/2007,"2,036","18,212","24,265","2,036","3,426","3,426",1
8/18/2007,"2,260","17,270","24,211","2,260","3,426","3,426",1
8/25/2007,"2,253","16,657","24,179","2,253","3,421","3,421",1
9/1/2007,"2,071","16,481","24,150","2,071","3,420","3,420",1
9/8/2007,"2,019","15,267","24,112","2,019","3,391","3,391",1
9/15/2007,"2,267","15,287","24,059","2,267","3,373","3,373",1
9/22/2007,"2,002","15,275","24,014","2,002","3,365","3,365",1
9/29/2007,"1,929","14,512","23,962","1,929","3,357","3,357",1
10/6/2007,"2,101","14,483","23,917","2,101","3,338","3,338",1
10/13/2007,"3,442","14,406","23,868","3,442","3,348","3,348",1
10/20/2007,"3,198","15,753","23,837","3,198","3,345","3,345",1
10/27/2007,"2,637","16,623","23,820","2,637","3,327","3,327",1
11/3/2007,"5,238","15,712","23,770","5,238","3,361","3,361",1
