FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,,,,,
,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,,,
,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,,,
35,KLAMATH,196,108,21,35,KLAMATH,240,164,21,35,KLAMATH,154,163,10,35,KLAMATH,161,140,18,35,KLAMATH,199,240,11,35,KLAMATH,282,248,15,35,KLAMATH,239,172,24,35,KLAMATH,478,134,50,35,KLAMATH,431,291,63,35,KLAMATH,323,286,49,35,KLAMATH,248,142,37,35,KLAMATH,151,96,21,35,KLAMATH,172,106,27,35,KLAMATH,176,140,12,35,KLAMATH,163,147,18,35,KLAMATH,121,95,16,35,KLAMATH,189,182,18,35,KLAMATH,204,207,13,35,KLAMATH,191,189,20,35,KLAMATH,505,258,58,,,,,
37,LAKE,20,8,0,37,LAKE,12,6,0,37,LAKE,7,6,1,37,LAKE,11,4,0,37,LAKE,15,7,1,37,LAKE,26,18,0,37,LAKE,34,15,0,37,LAKE,102,20,5,37,LAKE,40,33,2,37,LAKE,41,26,1,37,LAKE,20,14,1,37,LAKE,15,13,3,37,LAKE,19,9,1,37,LAKE,21,4,0,37,LAKE,21,9,0,37,LAKE,12,9,2,37,LAKE,18,11,1,37,LAKE,12,12,0,37,LAKE,18,10,0,37,LAKE,42,25,2,,,,,
39,LANE,933,565,36,39,LANE,929,618,29,39,LANE,666,591,26,39,LANE,822,585,25,39,LANE,960,686,34,39,LANE,"1,235",972,28,39,LANE,"1,001",874,38,39,LANE,"1,626",649,61,39,LANE,"1,209",951,48,39,LANE,"1,214",749,34,39,LANE,936,508,45,39,LANE,722,408,34,39,LANE,842,470,35,39,LANE,844,597,29,39,LANE,870,556,26,39,LANE,782,513,32,39,LANE,887,643,31,39,LANE,861,625,22,39,LANE,922,666,24,39,LANE,"1,419",795,36,,,,,
41,LINCOLN,158,84,12,41,LINCOLN,119,59,6,41,LINCOLN,83,74,4,41,LINCOLN,77,58,12,41,LINCOLN,118,94,11,41,LINCOLN,123,75,3,41,LINCOLN,104,78,5,41,LINCOLN,238,91,6,41,LINCOLN,161,143,13,41,LINCOLN,210,141,14,41,LINCOLN,192,84,10,41,LINCOLN,93,44,8,41,LINCOLN,105,38,8,41,LINCOLN,87,49,7,41,LINCOLN,106,59,4,41,LINCOLN,79,67,5,41,LINCOLN,100,67,12,41,LINCOLN,105,65,2,41,LINCOLN,116,56,5,41,LINCOLN,181,89,8,,,,,
43,LINN,287,233,11,43,LINN,450,318,10,43,LINN,300,207,5,43,LINN,304,248,5,43,LINN,309,319,12,43,LINN,419,347,12,43,LINN,432,354,5,43,LINN,563,312,11,43,LINN,467,470,14,43,LINN,400,327,9,43,LINN,364,260,11,43,LINN,257,172,12,43,LINN,361,179,10,43,LINN,402,290,9,43,LINN,335,184,7,43,LINN,263,190,15,43,LINN,316,271,7,43,LINN,317,260,15,43,LINN,331,268,7,43,LINN,567,320,22,,,,,
45,MALHEUR,59,100,13,45,MALHEUR,59,28,9,45,MALHEUR,37,29,11,45,MALHEUR,51,47,8,45,MALHEUR,48,49,10,45,MALHEUR,57,44,9,45,MALHEUR,43,30,16,45,MALHEUR,102,48,27,45,MALHEUR,112,69,26,45,MALHEUR,76,40,17,45,MALHEUR,50,49,8,45,MALHEUR,30,26,4,45,MALHEUR,38,25,9,45,MALHEUR,109,86,13,45,MALHEUR,62,60,11,45,MALHEUR,62,44,17,45,MALHEUR,53,51,14,45,MALHEUR,38,41,13,45,MALHEUR,49,25,14,45,MALHEUR,128,66,22,,,,,
47,MARION,839,537,28,47,MARION,851,606,19,47,MARION,674,622,17,47,MARION,679,609,27,47,MARION,772,703,15,47,MARION,909,741,34,47,MARION,850,714,26,47,MARION,"1,283",667,37,47,MARION,"1,201","1,076",40,47,MARION,961,831,38,47,MARION,819,573,34,47,MARION,640,438,30,47,MARION,722,411,22,47,MARION,795,459,17,47,MARION,773,612,15,47,MARION,688,512,28,47,MARION,774,653,24,47,MARION,782,701,18,47,MARION,809,653,25,47,MARION,"1,244",817,50,,,,,
49,MORROW,25,18,6,49,MORROW,60,44,3,49,MORROW,36,15,2,49,MORROW,33,23,3,49,MORROW,35,37,2,49,MORROW,24,24,2,49,MORROW,41,26,2,49,MORROW,77,27,8,49,MORROW,94,85,4,49,MORROW,39,46,6,49,MORROW,33,22,2,49,MORROW,21,13,0,49,MORROW,26,11,0,49,MORROW,72,79,3,49,MORROW,32,14,4,49,MORROW,28,55,1,49,MORROW,42,39,4,49,MORROW,20,28,0,49,MORROW,29,29,0,49,MORROW,53,24,4,,,,,
51,MULTNOMAH,2018,948,132,51,MULTNOMAH,2089,1022,71,51,MULTNOMAH,1519,973,70,51,MULTNOMAH,"1,688","1,051",104,51,MULTNOMAH,"1,879","1,183",97,51,MULTNOMAH,"2,008","1,010",80,51,MULTNOMAH,"1,867","1,063",93,51,MULTNOMAH,"2,689","1,052",113,51,MULTNOMAH,"1,813","1,403",81,51,MULTNOMAH,"1,713","1,109",76,51,MULTNOMAH,"1,873",999,97,51,MULTNOMAH,"1,417",865,67,51,MULTNOMAH,"1,767",946,79,51,MULTNOMAH,"1,961","1,089",60,51,MULTNOMAH,"1,605","1,108",66,51,MULTNOMAH,"1,591","1,085",88,51,MULTNOMAH,"1,861","1,166",94,51,MULTNOMAH,"1,729",981,91,51,MULTNOMAH,"1,812","1,135",86,51,MULTNOMAH,"2,595","1,270",125,,,,,
53,POLK,180,101,14,53,POLK,216,190,9,53,POLK,170,136,6,53,POLK,155,125,5,53,POLK,170,148,7,53,POLK,213,151,6,53,POLK,226,166,11,53,POLK,294,152,5,53,POLK,229,232,9,53,POLK,254,187,6,53,POLK,176,120,13,53,POLK,140,102,8,53,POLK,144,92,15,53,POLK,166,104,6,53,POLK,156,121,6,53,POLK,116,69,4,53,POLK,175,108,8,53,POLK,170,129,6,53,POLK,174,139,5,53,POLK,267,156,12,,,,,
55,SHERMAN,7,3,1,55,SHERMAN,1,2,0,55,SHERMAN,5,2,0,55,SHERMAN,2,2,0,55,SHERMAN,2,1,0,55,SHERMAN,0,2,0,55,SHERMAN,4,5,1,55,SHERMAN,8,4,2,55,SHERMAN,4,4,1,55,SHERMAN,7,0,0,55,SHERMAN,2,4,0,55,SHERMAN,2,1,0,55,SHERMAN,3,2,1,55,SHERMAN,3,3,0,55,SHERMAN,3,3,0,55,SHERMAN,1,0,2,55,SHERMAN,3,4,2,55,SHERMAN,0,1,0,55,SHERMAN,4,3,0,55,SHERMAN,3,6,1,,,,,
57,TILLAMOOK,66,27,1,57,TILLAMOOK,64,33,1,57,TILLAMOOK,33,33,1,57,TILLAMOOK,46,20,3,57,TILLAMOOK,41,36,2,57,TILLAMOOK,55,31,2,57,TILLAMOOK,71,52,2,57,TILLAMOOK,107,38,6,57,TILLAMOOK,95,46,2,57,TILLAMOOK,90,39,1,57,TILLAMOOK,55,38,4,57,TILLAMOOK,57,18,2,57,TILLAMOOK,52,7,0,57,TILLAMOOK,47,21,0,57,TILLAMOOK,45,28,2,57,TILLAMOOK,41,21,4,57,TILLAMOOK,52,28,2,57,TILLAMOOK,45,26,0,57,TILLAMOOK,53,40,1,57,TILLAMOOK,104,39,4,,,,,
59,UMATILLA,166,162,20,59,UMATILLA,339,421,17,59,UMATILLA,231,408,11,59,UMATILLA,219,431,9,59,UMATILLA,265,375,10,59,UMATILLA,216,234,16,59,UMATILLA,360,296,16,59,UMATILLA,432,202,38,59,UMATILLA,528,733,17,59,UMATILLA,379,521,24,59,UMATILLA,196,157,11,59,UMATILLA,177,321,10,59,UMATILLA,150,104,11,59,UMATILLA,276,382,18,59,UMATILLA,299,302,10,59,UMATILLA,202,316,10,59,UMATILLA,191,229,8,59,UMATILLA,178,155,7,59,UMATILLA,233,233,13,59,UMATILLA,392,206,25,,,,,
61,UNION,57,58,7,61,UNION,57,49,3,61,UNION,115,59,5,61,UNION,39,42,5,61,UNION,47,56,9,61,UNION,86,58,3,61,UNION,109,60,4,61,UNION,184,68,12,61,UNION,106,102,10,61,UNION,83,96,6,61,UNION,80,43,7,61,UNION,41,33,4,61,UNION,57,36,4,61,UNION,75,45,3,61,UNION,47,40,1,61,UNION,50,21,0,61,UNION,60,48,0,61,UNION,60,53,7,61,UNION,84,65,4,61,UNION,142,78,7,,,,,
63,WALLOWA,21,26,0,63,WALLOWA,8,9,2,63,WALLOWA,19,6,1,63,WALLOWA,14,22,0,63,WALLOWA,15,17,1,63,WALLOWA,29,27,0,63,WALLOWA,34,40,2,63,WALLOWA,66,26,1,63,WALLOWA,45,35,0,63,WALLOWA,38,29,1,63,WALLOWA,36,24,2,63,WALLOWA,8,9,1,63,WALLOWA,4,4,0,63,WALLOWA,15,8,0,63,WALLOWA,3,7,1,63,WALLOWA,15,10,1,63,WALLOWA,13,15,0,63,WALLOWA,17,31,1,63,WALLOWA,34,28,1,63,WALLOWA,46,33,3,,,,,
65,WASCO,75,45,11,65,WASCO,74,58,4,65,WASCO,37,55,5,65,WASCO,78,62,6,65,WASCO,52,43,3,65,WASCO,98,60,5,65,WASCO,121,88,7,65,WASCO,115,47,4,65,WASCO,128,63,11,65,WASCO,76,52,6,65,WASCO,60,44,6,65,WASCO,61,27,1,65,WASCO,67,41,0,65,WASCO,53,46,3,65,WASCO,55,42,2,65,WASCO,47,36,1,65,WASCO,47,38,6,65,WASCO,57,40,3,65,WASCO,72,47,0,65,WASCO,126,51,7,,,,,
