"Weekly Wyoming Unemployment Insurance Claims by County of Claimant Residence, 2019-2020",,,,,,
"Week ending April 18, 2020, is referred to as 2020 Week 16. ",,,,,,
"Updated April 23, 2020. ",,,,,,
,,,,,,
County,Year,Week,Week Ending,Employers,Initial Claims,Continued Claims
 Total,2020,16,18/4/2020,"4,575","3,294","15,735"
 Total,2020,15,11/4/2020,"4,505","5,686","12,698"
 Total,2020,14,4/4/2020,"4,164","6,529","9,196"
 Total,2020,13,28/3/2020,"3,454","6,275","5,725"
 Total,2020,12,21/3/2020,"2,414","3,731","3,935"
 Total,2020,11,14/3/2020,"1,680",504,"3,983"
 Total,2020,10,7/3/2020,"1,670",522,"4,123"
 Total,2020,9,29/2/2020,"1,695",463,"4,153"
 Total,2020,8,22/2/2020,"1,707",377,"4,269"
 Total,2020,7,15/2/2020,"1,754",597,"4,377"
 Total,2020,6,8/2/2020,"1,699",587,"4,156"
 Total,2020,5,1/2/2020,"1,706",538,"4,132"
 Total,2020,4,25/1/2020,"1,683",538,"4,057"
 Total,2020,3,18/1/2020,"1,656",643,"4,032"
 Total,2020,2,11/1/2020,"1,628",839,"3,955"
 Total,2020,1,4/1/2020,"1,559",646,"3,808"
 Total,2019,52,28/12/2019,"1,447",630,"3,379"
 Total,2019,51,21/12/2019,"1,503",625,"3,425"
 Total,2019,50,14/12/2019,"1,462",545,"3,438"
 Total,2019,49,7/12/2019,"1,491",758,"3,407"
 Total,2019,48,30/11/2019,"1,334",580,"3,071"
 Total,2019,47,23/11/2019,"1,345",610,"2,920"
 Total,2019,46,16/11/2019,"1,290",531,"2,691"
 Total,2019,45,9/11/2019,"1,291",801,"2,438"
 Total,2019,44,2/11/2019,"1,178",763,"2,023"
 Total,2019,43,26/10/2019,"1,004",397,"1,822"
 Total,2019,42,19/10/2019,"1,056",504,"1,777"
 Total,2019,41,12/10/2019,"1,018",467,"1,668"
 Total,2019,40,5/10/2019,"1,021",425,"1,624"
 Total,2019,39,28/9/2019,954,297,"1,561"
 Total,2019,38,21/9/2019,922,271,"1,531"
 Total,2019,37,14/9/2019,933,240,"1,539"
 Total,2019,36,7/9/2019,911,213,"1,576"
 Total,2019,35,31/8/2019,916,222,"1,647"
 Total,2019,34,24/8/2019,936,232,"1,771"
 Total,2019,33,17/8/2019,920,218,"1,828"
 Total,2019,32,10/8/2019,895,200,"1,887"
 Total,2019,31,3/8/2019,933,177,"1,965"
 Total,2019,30,27/7/2019,913,165,"2,046"
 Total,2019,29,20/7/2019,946,242,"2,077"
 Total,2019,28,13/7/2019,947,447,"1,851"
 Total,2019,27,6/7/2019,910,429,"1,640"
 Total,2019,26,29/6/2019,967,241,"1,754"
 Total,2019,25,22/6/2019,960,252,"1,711"
 Total,2019,24,15/6/2019,977,296,"1,730"
 Total,2019,23,8/6/2019,"1,065",379,"1,776"
 Total,2019,22,1/6/2019,"1,105",424,"1,858"
 Total,2019,21,25/5/2019,874,229,"1,395"
 Total,2019,20,18/5/2019,"1,133",194,"2,002"
 Total,2019,19,11/5/2019,"1,222",261,"2,262"
 Total,2019,18,4/5/2019,"1,291",319,"2,416"
 Total,2019,17,27/4/2019,"1,309",282,"2,551"
 Total,2019,16,20/4/2019,"1,407",351,"2,758"
 Total,2019,15,13/4/2019,"1,457",600,"2,687"
 Total,2019,14,6/4/2019,"1,520",341,"3,005"
 Total,2019,13,30/3/2019,"1,549",292,"3,175"
 Total,2019,12,23/3/2019,"1,619",350,"3,338"
 Total,2019,11,16/3/2019,"1,601",316,"3,428"
 Total,2019,10,9/3/2019,"1,653",347,"3,519"
 Total,2019,9,2/3/2019,"1,672",335,"3,645"
 Total,2019,8,23/2/2019,"1,650",381,"3,620"
 Total,2019,7,16/2/2019,"1,628",345,"3,678"
 Total,2019,6,9/2/2019,"1,641",394,"3,678"
 Total,2019,5,2/2/2019,"1,659",431,"3,869"
 Total,2019,4,26/1/2019,"1,640",486,"3,947"
 Total,2019,3,19/1/2019,"1,623",574,"3,846"
 Total,2019,2,12/1/2019,"1,645","1,033","3,597"
 Total,2019,1,5/1/2019,"1,508",596,"3,388"
Albany,2020,16,18/4/2020,223,122,456
Albany,2020,15,11/4/2020,224,218,376
Albany,2020,14,4/4/2020,204,288,241
Albany,2020,13,28/3/2020,166,270,139
Albany,2020,12,21/3/2020,103,128,92
Albany,2020,11,14/3/2020,59,14,95
Albany,2020,10,7/3/2020,58,13,101
Albany,2020,9,29/2/2020,57,12,98
Albany,2020,8,22/2/2020,60,13,109
Albany,2020,7,15/2/2020,66,18,108
Albany,2020,6,8/2/2020,59,16,99
Albany,2020,5,1/2/2020,66,7,111
Albany,2020,4,25/1/2020,63,13,105
Albany,2020,3,18/1/2020,66,20,99
Albany,2020,2,11/1/2020,71,24,112
Albany,2020,1,4/1/2020,74,21,111
Albany,2019,52,28/12/2019,58,30,81
Albany,2019,51,21/12/2019,62,22,78
Albany,2019,50,14/12/2019,55,13,79
Albany,2019,49,7/12/2019,60,27,68
Albany,2019,48,30/11/2019,47,15,58
Albany,2019,47,23/11/2019,46,21,51
Albany,2019,46,16/11/2019,44,16,44
Albany,2019,45,9/11/2019,44,16,42
Albany,2019,44,2/11/2019,38,8,39
Albany,2019,43,26/10/2019,30,6,33
Albany,2019,42,19/10/2019,40,7,38
Albany,2019,41,12/10/2019,34,8,32
Albany,2019,40,5/10/2019,34,6,34
Albany,2019,39,28/9/2019,37,6,40
Albany,2019,38,21/9/2019,36,7,39
Albany,2019,37,14/9/2019,36,6,39
Albany,2019,36,7/9/2019,32,8,36
Albany,2019,35,31/8/2019,,,
Albany,2019,34,24/8/2019,37,9,49
Albany,2019,33,17/8/2019,33,7,50
Albany,2019,32,10/8/2019,38,5,57
Albany,2019,31,3/8/2019,,,
Albany,2019,30,27/7/2019,37,7,59
Albany,2019,29,20/7/2019,41,8,63
Albany,2019,28,13/7/2019,40,6,62
Albany,2019,27,6/7/2019,,,
Albany,2019,26,29/6/2019,47,5,73
Albany,2019,25,22/6/2019,46,12,67
Albany,2019,24,15/6/2019,48,14,64
Albany,2019,23,8/6/2019,48,30,42
Albany,2019,22,1/6/2019,49,12,49
Albany,2019,21,25/5/2019,,,
Albany,2019,20,18/5/2019,,,
Albany,2019,19,11/5/2019,42,10,47
Albany,2019,18,4/5/2019,51,6,60
Albany,2019,17,27/4/2019,,,
Albany,2019,16,20/4/2019,,,
Albany,2019,15,13/4/2019,63,12,77
Albany,2019,14,6/4/2019,66,9,93
Albany,2019,13,30/3/2019,64,8,99
Albany,2019,12,23/3/2019,73,15,103
Albany,2019,11,16/3/2019,64,7,97
Albany,2019,10,9/3/2019,68,6,102
Albany,2019,9,2/3/2019,79,11,122
Albany,2019,8,23/2/2019,88,13,122
Albany,2019,7,16/2/2019,78,14,120
Albany,2019,6,9/2/2019,77,8,122
Albany,2019,5,2/2/2019,74,11,125
Albany,2019,4,26/1/2019,74,13,133
Albany,2019,3,19/1/2019,77,21,133
Albany,2019,2,12/1/2019,80,38,131
Albany,2019,1,5/1/2019,75,24,128
Big Horn,2020,16,18/4/2020,82,24,129
Big Horn,2020,15,11/4/2020,88,46,129
Big Horn,2020,14,4/4/2020,82,53,108
Big Horn,2020,13,28/3/2020,64,34,87
Big Horn,2020,12,21/3/2020,53,33,70
Big Horn,2020,11,14/3/2020,39,6,77
Big Horn,2020,10,7/3/2020,38,9,77
Big Horn,2020,9,29/2/2020,39,6,81
Big Horn,2020,8,22/2/2020,,,
Big Horn,2020,7,15/2/2020,40,12,82
Big Horn,2020,6,8/2/2020,37,10,75
Big Horn,2020,5,1/2/2020,41,7,78
Big Horn,2020,4,25/1/2020,44,13,72
Big Horn,2020,3,18/1/2020,43,17,71
Big Horn,2020,2,11/1/2020,38,20,58
Big Horn,2020,1,4/1/2020,33,13,51
Big Horn,2019,52,28/12/2019,30,18,36
Big Horn,2019,51,21/12/2019,31,8,35
Big Horn,2019,50,14/12/2019,28,5,34
Big Horn,2019,49,7/12/2019,32,12,33
Big Horn,2019,48,30/11/2019,25,9,22
Big Horn,2019,47,23/11/2019,27,10,28
Big Horn,2019,46,16/11/2019,,,
Big Horn,2019,45,9/11/2019,24,7,25
Big Horn,2019,44,2/11/2019,18,5,19
Big Horn,2019,43,26/10/2019,12,5,12
Big Horn,2019,42,19/10/2019,,,
Big Horn,2019,41,12/10/2019,19,5,17
Big Horn,2019,40,5/10/2019,20,7,14
Big Horn,2019,39,28/9/2019,14,6,8
Big Horn,2019,38,21/9/2019,,,
Big Horn,2019,37,14/9/2019,,,
Big Horn,2019,36,7/9/2019,,,
Big Horn,2019,35,31/8/2019,,,
Big Horn,2019,34,24/8/2019,,,
Big Horn,2019,33,17/8/2019,,,
Big Horn,2019,32,10/8/2019,,,
Big Horn,2019,31,3/8/2019,,,
Big Horn,2019,30,27/7/2019,,,
Big Horn,2019,29,20/7/2019,,,
Big Horn,2019,28,13/7/2019,15,6,25
Big Horn,2019,27,6/7/2019,,,
Big Horn,2019,26,29/6/2019,,,
Big Horn,2019,25,22/6/2019,,,
Big Horn,2019,24,15/6/2019,,,
Big Horn,2019,23,8/6/2019,21,9,29
Big Horn,2019,22,1/6/2019,,,
Big Horn,2019,21,25/5/2019,,,
Big Horn,2019,20,18/5/2019,27,0,45
Big Horn,2019,19,11/5/2019,,,
Big Horn,2019,18,4/5/2019,32,5,53
Big Horn,2019,17,27/4/2019,,,
Big Horn,2019,16,20/4/2019,,,
Big Horn,2019,15,13/4/2019,35,7,58
Big Horn,2019,14,6/4/2019,36,5,61
Big Horn,2019,13,30/3/2019,38,7,64
Big Horn,2019,12,23/3/2019,44,9,68
Big Horn,2019,11,16/3/2019,,,
Big Horn,2019,10,9/3/2019,47,6,80
Big Horn,2019,9,2/3/2019,47,5,80
Big Horn,2019,8,23/2/2019,48,10,78
Big Horn,2019,7,16/2/2019,52,12,77
Big Horn,2019,6,9/2/2019,,,
Big Horn,2019,5,2/2/2019,47,5,79
Big Horn,2019,4,26/1/2019,48,9,76
Big Horn,2019,3,19/1/2019,46,6,80
Big Horn,2019,2,12/1/2019,52,14,76
Big Horn,2019,1,5/1/2019,48,12,73
Campbell,2020,16,18/4/2020,471,256,"1,209"
Campbell,2020,15,11/4/2020,448,435,977
Campbell,2020,14,4/4/2020,393,527,620
Campbell,2020,13,28/3/2020,311,550,308
Campbell,2020,12,21/3/2020,207,254,204
Campbell,2020,11,14/3/2020,136,37,207
Campbell,2020,10,7/3/2020,136,38,220
Campbell,2020,9,29/2/2020,134,24,232
Campbell,2020,8,22/2/2020,143,29,236
Campbell,2020,7,15/2/2020,136,37,236
Campbell,2020,6,8/2/2020,122,45,211
Campbell,2020,5,1/2/2020,128,36,204
Campbell,2020,4,25/1/2020,122,28,205
Campbell,2020,3,18/1/2020,121,37,201
Campbell,2020,2,11/1/2020,130,60,188
Campbell,2020,1,4/1/2020,111,39,174
Campbell,2019,52,28/12/2019,109,35,152
Campbell,2019,51,21/12/2019,99,39,140
Campbell,2019,50,14/12/2019,102,30,129
Campbell,2019,49,7/12/2019,104,23,127
Campbell,2019,48,30/11/2019,103,22,116
Campbell,2019,47,23/11/2019,104,17,117
Campbell,2019,46,16/11/2019,102,29,113
Campbell,2019,45,9/11/2019,89,30,98
Campbell,2019,44,2/11/2019,78,16,102
Campbell,2019,43,26/10/2019,75,11,129
Campbell,2019,42,19/10/2019,84,20,139
Campbell,2019,41,12/10/2019,80,19,148
Campbell,2019,40,5/10/2019,80,23,151
Campbell,2019,39,28/9/2019,68,12,156
Campbell,2019,38,21/9/2019,75,18,160
Campbell,2019,37,14/9/2019,79,13,187
Campbell,2019,36,7/9/2019,80,17,196
Campbell,2019,35,31/8/2019,80,17,240
Campbell,2019,34,24/8/2019,78,15,267
Campbell,2019,33,17/8/2019,80,19,300
Campbell,2019,32,10/8/2019,79,15,312
Campbell,2019,31,3/8/2019,88,17,358
Campbell,2019,30,27/7/2019,79,10,403
Campbell,2019,29,20/7/2019,85,38,411
Campbell,2019,28,13/7/2019,91,188,216
Campbell,2019,27,6/7/2019,75,236,91
Campbell,2019,26,29/6/2019,79,19,96
Campbell,2019,25,22/6/2019,73,9,92
Campbell,2019,24,15/6/2019,88,14,108
Campbell,2019,23,8/6/2019,99,19,112
Campbell,2019,22,1/6/2019,107,37,122
Campbell,2019,21,25/5/2019,86,34,73
Campbell,2019,20,18/5/2019,95,15,110
Campbell,2019,19,11/5/2019,106,18,115
Campbell,2019,18,4/5/2019,107,24,114
Campbell,2019,17,27/4/2019,101,17,121
Campbell,2019,16,20/4/2019,109,20,135
Campbell,2019,15,13/4/2019,114,23,142
Campbell,2019,14,6/4/2019,120,19,169
Campbell,2019,13,30/3/2019,132,24,184
Campbell,2019,12,23/3/2019,136,29,189
Campbell,2019,11,16/3/2019,131,19,195
Campbell,2019,10,9/3/2019,136,19,207
Campbell,2019,9,2/3/2019,135,35,200
Campbell,2019,8,23/2/2019,138,37,199
Campbell,2019,7,16/2/2019,124,12,209
Campbell,2019,6,9/2/2019,132,38,195
Campbell,2019,5,2/2/2019,133,28,201
Campbell,2019,4,26/1/2019,133,34,183
Campbell,2019,3,19/1/2019,130,33,172
Campbell,2019,2,12/1/2019,129,48,170
Campbell,2019,1,5/1/2019,122,31,166
Carbon,2020,16,18/4/2020,119,47,235
Carbon,2020,15,11/4/2020,120,94,185
Carbon,2020,14,4/4/2020,115,87,144
Carbon,2020,13,28/3/2020,107,103,107
Carbon,2020,12,21/3/2020,76,47,91
Carbon,2020,11,14/3/2020,64,5,97
Carbon,2020,10,7/3/2020,69,11,108
Carbon,2020,9,29/2/2020,73,12,108
Carbon,2020,8,22/2/2020,,,
Carbon,2020,7,15/2/2020,73,10,103
Carbon,2020,6,8/2/2020,72,13,109
Carbon,2020,5,1/2/2020,65,19,93
Carbon,2020,4,25/1/2020,65,15,90
Carbon,2020,3,18/1/2020,57,12,81
Carbon,2020,2,11/1/2020,64,22,74
Carbon,2020,1,4/1/2020,56,13,72
Carbon,2019,52,28/12/2019,52,10,70
Carbon,2019,51,21/12/2019,57,13,68
Carbon,2019,50,14/12/2019,53,6,66
Carbon,2019,49,7/12/2019,54,23,57
Carbon,2019,48,30/11/2019,45,7,51
Carbon,2019,47,23/11/2019,45,6,54
Carbon,2019,46,16/11/2019,47,13,53
Carbon,2019,45,9/11/2019,42,17,42
Carbon,2019,44,2/11/2019,41,22,30
Carbon,2019,43,26/10/2019,28,7,26
Carbon,2019,42,19/10/2019,,,
Carbon,2019,41,12/10/2019,27,6,26
Carbon,2019,40,5/10/2019,25,6,22
Carbon,2019,39,28/9/2019,,,
Carbon,2019,38,21/9/2019,27,5,30
Carbon,2019,37,14/9/2019,28,7,28
Carbon,2019,36,7/9/2019,,,
Carbon,2019,35,31/8/2019,,,
Carbon,2019,34,24/8/2019,,,
Carbon,2019,33,17/8/2019,31,5,33
Carbon,2019,32,10/8/2019,29,7,28
Carbon,2019,31,3/8/2019,,,
Carbon,2019,30,27/7/2019,,,
Carbon,2019,29,20/7/2019,,,
Carbon,2019,28,13/7/2019,,,
Carbon,2019,27,6/7/2019,,,
Carbon,2019,26,29/6/2019,,,
Carbon,2019,25,22/6/2019,35,8,33
Carbon,2019,24,15/6/2019,32,5,32
Carbon,2019,23,8/6/2019,35,7,36
Carbon,2019,22,1/6/2019,35,7,34
Carbon,2019,21,25/5/2019,24,0,24
Carbon,2019,20,18/5/2019,40,9,37
Carbon,2019,19,11/5/2019,,,
Carbon,2019,18,4/5/2019,35,0,40
Carbon,2019,17,27/4/2019,50,7,48
Carbon,2019,16,20/4/2019,,,
Carbon,2019,15,13/4/2019,57,10,62
Carbon,2019,14,6/4/2019,55,5,66
Carbon,2019,13,30/3/2019,,,
Carbon,2019,12,23/3/2019,62,5,78
Carbon,2019,11,16/3/2019,68,7,82
Carbon,2019,10,9/3/2019,69,5,86
Carbon,2019,9,2/3/2019,66,9,86
Carbon,2019,8,23/2/2019,62,8,85
Carbon,2019,7,16/2/2019,61,12,78
Carbon,2019,6,9/2/2019,65,9,82
Carbon,2019,5,2/2/2019,,,
Carbon,2019,4,26/1/2019,65,11,88
Carbon,2019,3,19/1/2019,66,10,93
Carbon,2019,2,12/1/2019,76,28,94
Carbon,2019,1,5/1/2019,65,14,83
Converse,2020,16,18/4/2020,164,62,249
Converse,2020,15,11/4/2020,169,121,177
Converse,2020,14,4/4/2020,138,108,118
Converse,2020,13,28/3/2020,109,92,77
Converse,2020,12,21/3/2020,76,37,62
Converse,2020,11,14/3/2020,51,10,62
Converse,2020,10,7/3/2020,53,8,58
Converse,2020,9,29/2/2020,55,12,60
Converse,2020,8,22/2/2020,52,8,57
Converse,2020,7,15/2/2020,55,14,56
Converse,2020,6,8/2/2020,58,14,58
Converse,2020,5,1/2/2020,51,5,58
Converse,2020,4,25/1/2020,57,6,59
Converse,2020,3,18/1/2020,56,13,58
Converse,2020,2,11/1/2020,50,9,56
Converse,2020,1,4/1/2020,49,8,55
Converse,2019,52,28/12/2019,43,9,42
Converse,2019,51,21/12/2019,42,6,46
Converse,2019,50,14/12/2019,48,8,48
Converse,2019,49,7/12/2019,46,11,42
Converse,2019,48,30/11/2019,41,9,41
Converse,2019,47,23/11/2019,44,14,37
Converse,2019,46,16/11/2019,35,7,34
Converse,2019,45,9/11/2019,34,8,31
Converse,2019,44,2/11/2019,36,7,32
Converse,2019,43,26/10/2019,,,
Converse,2019,42,19/10/2019,33,5,31
Converse,2019,41,12/10/2019,35,6,33
Converse,2019,40,5/10/2019,36,9,32
Converse,2019,39,28/9/2019,38,9,32
Converse,2019,38,21/9/2019,31,5,29
Converse,2019,37,14/9/2019,30,6,29
Converse,2019,36,7/9/2019,27,5,27
Converse,2019,35,31/8/2019,,,
Converse,2019,34,24/8/2019,29,5,30
Converse,2019,33,17/8/2019,26,0,31
Converse,2019,32,10/8/2019,,,
Converse,2019,31,3/8/2019,,,
Converse,2019,30,27/7/2019,27,5,30
Converse,2019,29,20/7/2019,,,
Converse,2019,28,13/7/2019,25,5,27
Converse,2019,27,6/7/2019,27,6,27
Converse,2019,26,29/6/2019,,,
Converse,2019,25,22/6/2019,27,7,24
Converse,2019,24,15/6/2019,,,
Converse,2019,23,8/6/2019,31,6,31
Converse,2019,22,1/6/2019,37,16,28
Converse,2019,21,25/5/2019,,,
Converse,2019,20,18/5/2019,,,
Converse,2019,19,11/5/2019,26,5,24
Converse,2019,18,4/5/2019,,,
Converse,2019,17,27/4/2019,,,
Converse,2019,16,20/4/2019,,,
Converse,2019,15,13/4/2019,,,
Converse,2019,14,6/4/2019,40,7,35
Converse,2019,13,30/3/2019,42,9,41
Converse,2019,12,23/3/2019,38,7,38
Converse,2019,11,16/3/2019,,,
Converse,2019,10,9/3/2019,,,
Converse,2019,9,2/3/2019,,,
Converse,2019,8,23/2/2019,33,5,36
Converse,2019,7,16/2/2019,,,
Converse,2019,6,9/2/2019,44,7,42
Converse,2019,5,2/2/2019,41,5,44
Converse,2019,4,26/1/2019,,,
Converse,2019,3,19/1/2019,42,8,47
Converse,2019,2,12/1/2019,47,11,47
Converse,2019,1,5/1/2019,43,9,45
Crook,2020,16,18/4/2020,62,22,74
Crook,2020,15,11/4/2020,52,28,57
Crook,2020,14,4/4/2020,52,26,47
Crook,2020,13,28/3/2020,45,33,28
Crook,2020,12,21/3/2020,,,
Crook,2020,11,14/3/2020,,,
Crook,2020,10,7/3/2020,,,
Crook,2020,9,29/2/2020,,,
Crook,2020,8,22/2/2020,,,
Crook,2020,7,15/2/2020,17,0,20
Crook,2020,6,8/2/2020,,,
Crook,2020,5,1/2/2020,,,
Crook,2020,4,25/1/2020,,,
Crook,2020,3,18/1/2020,17,5,16
Crook,2020,2,11/1/2020,15,5,14
Crook,2020,1,4/1/2020,,,
Crook,2019,52,28/12/2019,,,
Crook,2019,51,21/12/2019,,,
Crook,2019,50,14/12/2019,,,
Crook,2019,49,7/12/2019,,,
Crook,2019,48,30/11/2019,12,5,11
Crook,2019,47,23/11/2019,,,
Crook,2019,46,16/11/2019,,,
Crook,2019,45,9/11/2019,,,
Crook,2019,44,2/11/2019,,,
Crook,2019,43,26/10/2019,,,
Crook,2019,42,19/10/2019,,,
Crook,2019,41,12/10/2019,,,
Crook,2019,40,5/10/2019,,,
Crook,2019,39,28/9/2019,,,
Crook,2019,38,21/9/2019,,,
Crook,2019,37,14/9/2019,,,
Crook,2019,36,7/9/2019,,,
Crook,2019,35,31/8/2019,,,
Crook,2019,34,24/8/2019,,,
Crook,2019,33,17/8/2019,,,
Crook,2019,32,10/8/2019,,,
Crook,2019,31,3/8/2019,,,
Crook,2019,30,27/7/2019,,,
Crook,2019,29,20/7/2019,8,0,27
Crook,2019,28,13/7/2019,10,17,8
Crook,2019,27,6/7/2019,6,13,5
Crook,2019,26,29/6/2019,5,0,5
Crook,2019,25,22/6/2019,6,0,10
Crook,2019,24,15/6/2019,8,9,21
Crook,2019,23,8/6/2019,9,19,10
Crook,2019,22,1/6/2019,,,
Crook,2019,21,25/5/2019,,,
Crook,2019,20,18/5/2019,,,
Crook,2019,19,11/5/2019,,,
Crook,2019,18,4/5/2019,,,
Crook,2019,17,27/4/2019,,,
Crook,2019,16,20/4/2019,13,0,17
Crook,2019,15,13/4/2019,,,
Crook,2019,14,6/4/2019,,,
Crook,2019,13,30/3/2019,,,
Crook,2019,12,23/3/2019,,,
Crook,2019,11,16/3/2019,16,24,18
Crook,2019,10,9/3/2019,17,8,13
Crook,2019,9,2/3/2019,15,0,16
Crook,2019,8,23/2/2019,,,
Crook,2019,7,16/2/2019,,,
Crook,2019,6,9/2/2019,,,
Crook,2019,5,2/2/2019,,,
Crook,2019,4,26/1/2019,13,5,16
Crook,2019,3,19/1/2019,,,
Crook,2019,2,12/1/2019,,,
Crook,2019,1,5/1/2019,,,
Fremont,2020,16,18/4/2020,358,191,834
Fremont,2020,15,11/4/2020,345,279,707
Fremont,2020,14,4/4/2020,322,340,513
Fremont,2020,13,28/3/2020,260,280,350
Fremont,2020,12,21/3/2020,207,188,264
Fremont,2020,11,14/3/2020,150,27,274
Fremont,2020,10,7/3/2020,143,21,289
Fremont,2020,9,29/2/2020,148,18,301
Fremont,2020,8,22/2/2020,154,15,317
Fremont,2020,7,15/2/2020,162,46,315
Fremont,2020,6,8/2/2020,157,32,299
Fremont,2020,5,1/2/2020,164,43,299
Fremont,2020,4,25/1/2020,163,36,307
Fremont,2020,3,18/1/2020,155,34,310
Fremont,2020,2,11/1/2020,170,79,302
Fremont,2020,1,4/1/2020,150,51,292
Fremont,2019,52,28/12/2019,139,58,243
Fremont,2019,51,21/12/2019,141,44,240
Fremont,2019,50,14/12/2019,145,30,241
Fremont,2019,49,7/12/2019,134,57,214
Fremont,2019,48,30/11/2019,122,47,178
Fremont,2019,47,23/11/2019,121,32,175
Fremont,2019,46,16/11/2019,116,33,150
Fremont,2019,45,9/11/2019,110,33,146
Fremont,2019,44,2/11/2019,104,38,131
Fremont,2019,43,26/10/2019,85,19,109
Fremont,2019,42,19/10/2019,92,17,125
Fremont,2019,41,12/10/2019,92,24,118
Fremont,2019,40,5/10/2019,87,28,115
Fremont,2019,39,28/9/2019,81,18,114
Fremont,2019,38,21/9/2019,77,12,115
Fremont,2019,37,14/9/2019,75,15,110
Fremont,2019,36,7/9/2019,68,11,115
Fremont,2019,35,31/8/2019,68,17,130
Fremont,2019,34,24/8/2019,67,19,128
Fremont,2019,33,17/8/2019,75,21,144
Fremont,2019,32,10/8/2019,65,11,157
Fremont,2019,31,3/8/2019,73,11,169
Fremont,2019,30,27/7/2019,74,18,167
Fremont,2019,29,20/7/2019,78,33,159
Fremont,2019,28,13/7/2019,78,24,163
Fremont,2019,27,6/7/2019,76,16,152
Fremont,2019,26,29/6/2019,82,18,159
Fremont,2019,25,22/6/2019,81,15,154
Fremont,2019,24,15/6/2019,88,30,147
Fremont,2019,23,8/6/2019,104,46,140
Fremont,2019,22,1/6/2019,97,38,126
Fremont,2019,21,25/5/2019,64,15,82
Fremont,2019,20,18/5/2019,92,11,119
Fremont,2019,19,11/5/2019,100,15,137
Fremont,2019,18,4/5/2019,104,18,135
Fremont,2019,17,27/4/2019,112,22,155
Fremont,2019,16,20/4/2019,119,11,171
Fremont,2019,15,13/4/2019,141,23,194
Fremont,2019,14,6/4/2019,148,22,228
Fremont,2019,13,30/3/2019,147,14,243
Fremont,2019,12,23/3/2019,157,19,264
Fremont,2019,11,16/3/2019,157,12,276
Fremont,2019,10,9/3/2019,165,17,291
Fremont,2019,9,2/3/2019,166,14,308
Fremont,2019,8,23/2/2019,167,23,313
Fremont,2019,7,16/2/2019,170,35,310
Fremont,2019,6,9/2/2019,169,26,315
Fremont,2019,5,2/2/2019,173,32,329
Fremont,2019,4,26/1/2019,169,33,338
Fremont,2019,3,19/1/2019,161,41,322
Fremont,2019,2,12/1/2019,155,98,283
Fremont,2019,1,5/1/2019,143,55,249
Goshen,2020,16,18/4/2020,69,26,142
Goshen,2020,15,11/4/2020,75,53,122
Goshen,2020,14,4/4/2020,63,75,70
Goshen,2020,13,28/3/2020,61,76,38
Goshen,2020,12,21/3/2020,30,14,31
Goshen,2020,11,14/3/2020,24,6,29
Goshen,2020,10,7/3/2020,,,
Goshen,2020,9,29/2/2020,26,5,30
Goshen,2020,8,22/2/2020,,,
Goshen,2020,7,15/2/2020,,,
Goshen,2020,6,8/2/2020,27,5,32
Goshen,2020,5,1/2/2020,26,5,34
Goshen,2020,4,25/1/2020,,,
Goshen,2020,3,18/1/2020,,,
Goshen,2020,2,11/1/2020,25,6,34
Goshen,2020,1,4/1/2020,,,
Goshen,2019,52,28/12/2019,28,5,34
Goshen,2019,51,21/12/2019,27,6,30
Goshen,2019,50,14/12/2019,,,
Goshen,2019,49,7/12/2019,31,11,27
Goshen,2019,48,30/11/2019,,,
Goshen,2019,47,23/11/2019,,,
Goshen,2019,46,16/11/2019,,,
Goshen,2019,45,9/11/2019,23,6,29
Goshen,2019,44,2/11/2019,,,
Goshen,2019,43,26/10/2019,,,
Goshen,2019,42,19/10/2019,,,
Goshen,2019,41,12/10/2019,22,5,30
Goshen,2019,40,5/10/2019,22,7,32
Goshen,2019,39,28/9/2019,,,
Goshen,2019,38,21/9/2019,,,
Goshen,2019,37,14/9/2019,,,
Goshen,2019,36,7/9/2019,,,
Goshen,2019,35,31/8/2019,,,
Goshen,2019,34,24/8/2019,19,5,42
Goshen,2019,33,17/8/2019,19,5,44
Goshen,2019,32,10/8/2019,,,
Goshen,2019,31,3/8/2019,,,
Goshen,2019,30,27/7/2019,17,5,45
Goshen,2019,29,20/7/2019,,,
Goshen,2019,28,13/7/2019,16,8,38
Goshen,2019,27,6/7/2019,,,
Goshen,2019,26,29/6/2019,15,5,45
Goshen,2019,25,22/6/2019,17,6,47
Goshen,2019,24,15/6/2019,15,6,46
Goshen,2019,23,8/6/2019,13,5,46
Goshen,2019,22,1/6/2019,18,5,55
Goshen,2019,21,25/5/2019,,,
Goshen,2019,20,18/5/2019,14,6,52
Goshen,2019,19,11/5/2019,,,
Goshen,2019,18,4/5/2019,,,
Goshen,2019,17,27/4/2019,,,
Goshen,2019,16,20/4/2019,,,
Goshen,2019,15,13/4/2019,20,7,56
Goshen,2019,14,6/4/2019,25,5,59
Goshen,2019,13,30/3/2019,,,
Goshen,2019,12,23/3/2019,28,13,50
Goshen,2019,11,16/3/2019,33,7,48
Goshen,2019,10,9/3/2019,34,8,52
Goshen,2019,9,2/3/2019,,,
Goshen,2019,8,23/2/2019,35,5,53
Goshen,2019,7,16/2/2019,35,7,44
Goshen,2019,6,9/2/2019,31,15,38
Goshen,2019,5,2/2/2019,29,8,37
Goshen,2019,4,26/1/2019,27,7,34
Goshen,2019,3,19/1/2019,27,6,33
Goshen,2019,2,12/1/2019,28,13,26
