weekEnding,county,claims
9/4/2010,HOLT,3
9/4/2010,HOWARD,5
9/4/2010,HOWELL,51
9/4/2010,IRON,25
9/4/2010,JACKSON,993
9/4/2010,JASPER,123
9/4/2010,JEFFERSON,356
9/4/2010,JOHNSON,57
9/4/2010,KNOX,1
9/4/2010,LACLEDE,65
9/4/2010,LAFAYETTE,41
9/4/2010,LAWRENCE,30
9/4/2010,LEWIS,8
9/4/2010,LINCOLN,91
9/4/2010,LINN,16
9/4/2010,LIVINGSTON,18
9/4/2010,MACON,15
9/4/2010,MADISON,20
9/4/2010,MARIES,10
9/4/2010,MARION,24
9/4/2010,MCDONALD,25
9/4/2010,MERCER,0
9/4/2010,MILLER,43
9/4/2010,MISSISSIPPI,32
9/4/2010,MONITEAU,12
9/4/2010,MONROE,9
9/4/2010,MONTGOMERY,17
9/4/2010,MORGAN,25
9/4/2010,NEW MADRID,20
9/4/2010,NEWTON,56
9/4/2010,NODAWAY,13
9/4/2010,OREGON,9
9/4/2010,OSAGE,9
9/4/2010,OZARK,24
9/4/2010,PEMISCOT,21
9/4/2010,PERRY,14
9/4/2010,PETTIS,46
9/4/2010,PHELPS,47
9/4/2010,PIKE,14
9/4/2010,PLATTE,79
9/4/2010,POLK,50
9/4/2010,PULASKI,29
9/4/2010,PUTNAM,2
9/4/2010,RALLS,17
9/4/2010,RANDOLPH,25
9/4/2010,RAY,30
9/4/2010,REYNOLDS,7
9/4/2010,RIPLEY,6
9/4/2010,SALINE,19
9/4/2010,SCHUYLER,6
9/4/2010,SCOTLAND,2
9/4/2010,SCOTT,58
9/4/2010,SHANNON,14
9/4/2010,SHELBY,2
9/4/2010,ST. CHARLES,421
9/4/2010,ST. CLAIR,8
9/4/2010,ST. FRANCOIS,92
9/4/2010,ST. LOUIS,1331
9/4/2010,ST. LOUIS CITY,524
9/4/2010,STE. GENEVIEVE,29
9/4/2010,STODDARD,35
9/4/2010,STONE,58
9/4/2010,SULLIVAN,3
9/4/2010,TANEY,95
9/4/2010,TEXAS,33
9/4/2010,VERNON,18
9/4/2010,WARREN,71
9/4/2010,WASHINGTON,52
9/4/2010,WAYNE,8
9/4/2010,WEBSTER,53
9/4/2010,WORTH,4
9/4/2010,WRIGHT,18
12/4/2010,ADAIR,39
12/4/2010,ANDREW,30
12/4/2010,ATCHISON,4
12/4/2010,AUDRAIN,26
12/4/2010,BARRY,55
12/4/2010,BARTON,13
12/4/2010,BATES,25
12/4/2010,BENTON,33
12/4/2010,BOLLINGER,25
12/4/2010,BOONE,228
12/4/2010,BUCHANAN,186
12/4/2010,BUTLER,102
12/4/2010,CALDWELL,12
12/4/2010,CALLAWAY,72
12/4/2010,CAMDEN,146
12/4/2010,CAPE GIRARDEAU,121
12/4/2010,CARROLL,24
12/4/2010,CARTER,12
12/4/2010,CASS,159
12/4/2010,CEDAR,17
12/4/2010,CHARITON,13
12/4/2010,CHRISTIAN,143
12/4/2010,CLARK,6
12/4/2010,CLAY,267
12/4/2010,CLINTON,26
12/4/2010,COLE,116
12/4/2010,COOPER,148
12/4/2010,CRAWFORD,77
12/4/2010,DADE,10
